pathway	description	sample100	sample111	sample112	sample113	sample114	sample115	sample126	sample127	sample128	sample129	sample130	sample141	sample142	sample143	sample144	sample145	sample156	sample157	sample158	sample159	sample160	sample171	sample172	sample173	sample174	sample175	sample186	sample187	sample188	sample189	sample190	sample201	sample202	sample203	sample204	sample205	sample216	sample217	sample218	sample219	sample220	sample231	sample232	sample233	sample234	sample235	sample246	sample247	sample248	sample249	sample250	sample261	sample262	sample263	sample264	sample265	sample276	sample277	sample278	sample279	sample280	sample291	sample292	sample293	sample294	sample295	sample306	sample307	sample308	sample309	sample31	sample310	sample32	sample321	sample322	sample323	sample324	sample325	sample33	sample336	sample337	sample338	sample339	sample34	sample340	sample35	sample351	sample352	sample353	sample354	sample355	sample366	sample367	sample368	sample369	sample370	sample381	sample382	sample383	sample384	sample385	sample396	sample397	sample398	sample399	sample400	sample411	sample412	sample413	sample414	sample415	sample426	sample427	sample428	sample429	sample430	sample441	sample442	sample443	sample444	sample445	sample456	sample457	sample458	sample459	sample46	sample460	sample47	sample471	sample472	sample473	sample474	sample475	sample48	sample486	sample487	sample488	sample489	sample49	sample490	sample50	sample501	sample502	sample503	sample504	sample505	sample516	sample517	sample518	sample519	sample520	sample531	sample532	sample533	sample534	sample535	sample61	sample62	sample63	sample64	sample65	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample96	sample97	sample98	sample99
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	42500.7544	54317.3941	30502.7075	37412.128	32006.7743	48839.2574	49185.5054	46002.8131	40962.0315	43781.5315	57092.6589	21711.7838	38092.4183	88032.0338	36431.6708	61211.5239	55145.5212	40307.4173	42501.1069	40534.0276	96775.5049	40231.0714	35962.7094	93343.6655	44865.8575	56513.4943	24971.1331	31576.5964	29958.7068	31952.8064	33204.1324	34271.4631	46984.3474	67172.7642	43796.3347	51507.5464	58134.1835	50763.7081	60079.4332	43723.0947	40093.35	41366.1235	40990.1824	47483.3345	28148.2528	50495.7926	34187.2075	56484.1801	32477.7044	32427.94	57517.1008	27587.3505	31515.4167	38789.4684	28126.9755	54691.9259	29660.7701	40138.0923	54365.9917	49630.7093	27687.4557	45790.2862	91063.774	59395.6348	84883.59199999999	65841.6912	42700.4828	109192.9408	36826.9845	59634.0687	46184.9621	65182.9398	35059.5915	50860.9503	35454.3272	34182.532999999996	51031.1501	49819.434	46123.0097	55032.8016	78146.9084	77903.2259	78494.8943	46100.0657	107563.5919	51750.992999999995	35620.8765	68158.7639	91869.2888	47633.4627	78678.392	62575.9478	78233.0546	34659.3321	84399.1703	83425.4662	88974.2942	88678.5897	59311.8986	88496.0355	90677.362	32951.3	71772.2599	46932.2802	72705.8496	66110.6867	67958.8344	66551.087	60799.5089	42486.068	117629.7747	110206.6954	74793.8058	81886.8389	38219.9522	54207.9961	56313.2804	48211.3027	69199.4055	29084.7179	80185.51299999999	48184.1913	72091.1031	67493.74	24329.8507	38509.4903	88978.2753	47458.3455	45177.0549	47529.7602	45862.6171	35655.8267	58911.6575	55405.3925	30687.5808	58595.809	45466.6524	64250.9937	47686.4664	50048.2474	63924.9188	32424.5979	67290.2091	48982.2662	44878.0261	36084.1119	27233.701	44099.4908	25500.8853	15591.0518	22352.9209	31531.1277	21603.4976	38526.562000000005	37436.1915	41356.8619	32270.0739	42494.5786	52623.1333	35190.3884	46586.4737	29048.5078	46113.1057	38104.0624	39155.475	38272.6762	27601.7722	48941.9173	37854.0447	35563.1429	48900.0591	38034.1353	59026.28400000001	29791.0442	16722.2155
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	11747.1701	12787.4422	7391.9857	8294.2282	5684.9315	10641.3823	12232.5316	13370.0252	8952.8493	9082.8646	14953.7731	2164.5803	2399.5433	4969.7637	3489.2771	2612.7273	2493.112	1868.9834	3526.535	4074.4203	1607.2109	5176.2894	2914.21	1461.8051	7265.4075	8335.0145	1625.983	4430.1315	3216.5991	2353.9683	3493.1420000000003	3427.2901	4443.8512	4516.6652	2999.9572	3554.7996	6237.4141	2051.9365	4304.9728	3273.6286	2578.0134	3392.0531	2198.3797	3901.1793	1814.3175	4384.3351	1800.0731	3272.0932	1688.9175	1504.5311	3448.6009999999997	1673.0264	1738.3004	1577.0839	812.6857	3352.4198	6563.6788	6276.4958	23422.6534	16290.2159	5108.5539	10885.1452	7250.9068	30181.5143	15626.7627	6434.3075	8974.149	27449.3627	18787.9447	12929.4257	9003.7381	14385.2314	10481.661	13593.0964	11454.0816	10003.9492	22925.9622	13542.2782	6893.7245	16490.577	27814.6542	30443.9568	26267.6043	7637.4783	29197.4654	11583.7847	9726.9709	19487.4919	36059.8373	11877.2964	21641.5318	15823.4139	25435.8575	20030.52	27545.8141	21971.6483	28679.502999999997	24231.2814	42496.5917	31918.7071	26983.1873	8616.4614	19894.1906	31455.2232	24466.3209	21595.5569	9327.8308	5216.7878	6048.503000000001	4271.6967	19900.4737	4293.7039	8162.1736	6140.0336	2271.2842	10716.7623	12000.9628	9154.9626	17287.6172	5005.2224	25622.507	3349.3573	8297.6784	2244.0227	2937.1016	8256.7172	46139.3795	5821.0449	2601.9995	1443.2959	2306.7121	2799.6248	33270.6274	3373.1509	2257.1065	2973.0324	3032.4616	7853.8171	8948.2069	19999.2446	4536.8169	2952.2172	5233.9283	4477.0926	3741.4323	2479.7979	2639.5805	5049.1381	1933.9659	944.9928	1893.7251	6562.3897	4833.2583	8610.6921	8358.1681	8428.6584	11837.3307	5426.5968	4291.1694	3198.5535	2571.7397	9423.0447	5830.3465	3154.6975	10478.3395	3732.9926	3683.1479999999997	6815.5705	1591.9344	6756.058000000001	4121.9351	8122.2204	17179.6318	7006.4499	2953.6523
FUCCAT-PWY	fucose degradation	12910.0236	14596.4925	6039.2163	10727.6381	5523.5592	12088.9618	11079.1917	12346.0082	9085.8983	7074.4363	18536.8664	1625.1669	1344.8881	2435.6245	2745.0318	1767.4769	1265.4882	928.0421	1768.6102	2821.4107	787.5991	3320.7934	2035.6529999999998	688.4153	6445.2059	5374.8217	1618.769	3556.4921	2815.336	1360.53	3748.5929	2636.4835	3546.3104	10035.3992	1873.9365	2223.5293	5733.9654	1482.9588	4639.9003	2287.992	1884.3076	3314.7565	1742.1962	3568.094	1438.7495	3461.8142	1212.0476	3567.7071	1122.1735	1051.0314	2821.9034	1432.7347	1463.6776	1112.1243	446.0488	2580.5862	5595.0425	3804.0855	25715.9516	11639.4585	3296.3296	6052.8763	3403.3397	32095.7372	7803.8735	3043.6049	5236.0397	15033.1139	19928.1843	6611.9617	4980.3859999999995	7547.274	6723.243	8745.258	7969.7748	6771.4833	24266.0159	9456.8147	3577.6614	11596.4574	22944.5852	33028.7093	20933.3011	4156.4951	19121.4503	6650.2321	7574.5221	14073.0733	38033.1827	8139.6024	15532.3968	16519.33	22751.3248	20557.6608	22502.7806	14307.725	24721.2921	17177.7252	42482.6049	26495.6908	18375.3586	9687.1392	14344.1421	32034.9577	20208.7206	20835.5103	7343.3035	4643.3767	5801.5003	3827.5234	21999.585	1958.0306	3954.9581	3136.2516	1146.9524	11273.7481	8308.5537	7943.0282	10772.8883	4424.4761	27799.6571	2083.4365	5827.177	1110.3277	2108.6053	4536.9223	49145.1243	3026.4585	2001.2844	998.9272	1334.0403	2145.6527	35048.4632	1605.4186	1422.6358	2176.7064	1668.0144	5782.6851	5089.0613	21213.0882	2214.0557	2347.6849	4236.8004	3038.5408	3282.2364	2175.761	2346.6694	4532.9222	1544.6301	854.5855	1582.7495	4871.6784	4616.1142	6281.9878	6327.0145	5574.5102	7501.9287	2738.7977	2171.3226	1591.4357	1222.7730000000001	5941.6988	2995.8078	1557.2137	6480.104	1871.247	1978.3904	3531.0190000000002	750.7647	3785.4576	2045.2617	10591.1288	17240.7835	8097.8396	2654.9822
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	16965.9332	20172.9664	15376.7952	16428.1948	24413.0746	20271.6868	17595.8351	32532.93	21545.9735	29117.425	32197.9926	8721.5338	11170.4381	28910.7859	10025.88	15457.4776	23030.9031	27292.0456	19015.9157	25139.4249	20381.368000000002	24489.926	29641.831000000002	26533.936	34337.535	31259.8645	12883.6135	25630.931	19585.4065	24290.0237	19204.5085	27900.8764	29639.1889	19820.8635	22471.9082	30109.8975	28624.9523	31922.4572	24232.6121	21802.7454	24493.0739	23516.6374	27791.6226	30434.3689	21338.6285	28790.2736	21688.9862	27100.0106	20413.2844	14926.1328	29908.8207	20514.0514	20515.5421	23946.9052	22845.873	29652.2976	12169.753999999999	19143.6954	26727.105	25948.5926	14408.3366	33658.6326	68162.9766	31527.1339	66645.7749	54732.1479	28352.1069	79877.9295	19666.9804	50483.9898	18006.2662	52703.4401	13616.6788	34658.1397	23514.6967	25097.369	24593.6235	29096.4923	13824.1494	29441.9539	48206.6482	31307.6692	52989.424000000006	13764.4315	74612.3786	19101.8792	21518.5438	49964.3424	39202.6964	37960.7085	55778.3535	45679.6008	53784.8102	22339.9249	61079.5233	62375.5169	51924.8413	70567.9624	48021.4382	66447.3413	71199.1982	19220.0505	57767.8021	33651.7205	50421.7383	46580.6854	20517.1664	13234.5011	13767.212	13900.0433	22493.9264	76711.8982	51354.3195	56020.6207	25999.5461	21673.4203	42293.1309	27289.2862	47786.9232	18430.1928	31190.6527	33190.3436	37563.1295	53426.255999999994	25666.1928	15398.976	47369.3532	10476.936	27720.6338	31495.2933	28619.4828	21523.5338	34947.399	11511.8831	16680.1977	29515.0159	27912.7582	28779.9819	16092.0985	22565.9572	11910.7637	18006.5298	39364.0423	26949.2163	24864.0185	7115.9031	6994.0047	20704.0341	7988.9221	6292.5816	12029.6167	14773.7744	9979.5292	16637.8283	19525.0878	21508.389	20721.8435	11085.6494	11065.6239	10586.2006	10615.9884	16509.0498	16334.2238	8446.6852	23835.3661	15334.596000000001	9385.8758	14826.546999999999	18422.9908	17308.9101	18273.4331	18563.2482	23355.5598	15262.5063	14182.2654
GALACTARDEG-PWY	D-galactarate degradation I	450.6026	80.1202	95.3148	179.7123	500.4659	118.016	124.0385	194.7144	29.9166	377.1906	163.5266	338.3305	627.9894	953.6056	1220.2065	967.4821	618.4472	199.1622	857.6156	667.9346	384.8239	54.0917	123.57700000000001	213.30700000000002	983.3347	180.8386	161.915	450.9163	110.5499	1163.3581	139.6672	138.8278	336.2967	189.9968	69.8891	78.8421	1256.4999	158.5003	181.0626	59.7408	63.4326	783.9901	721.3203	1263.4326	713.5615	814.3798	39.3044	125.3377	276.3499	199.7632	270.7406	967.4843	457.5996	809.0077	222.1196	305.6043	956.0135	2164.7842	27202.6656	9009.1766	1828.6666	84.8273	1318.0016	33316.9012	4971.2533	1761.3346	75.0955	372.4099	21121.1141	1078.9816	1685.4015	605.2005	2777.1723	161.7492	57.2275	1369.2588	25353.541	400.5389	1324.3598	226.4652	630.6442	34061.4991	1194.3179	1787.7526	2007.9492	2370.0928	34.4391	411.5313	39127.9877	817.3868	995.5357	75.6331	97.8264	22016.1052	871.3281	1487.4070000000002	125.5645	642.9702	48487.5103	2029.2667	478.1645	208.0468	118.962	35519.9044	984.2041	335.4238	4323.5194	3278.0412	2282.2205	2085.4604	21039.7691	685.0177	2441.5887	574.8142	380.1702	11282.5697	998.2035	1194.2655	421.421	166.7807	28018.123	997.0728	1004.4136	217.7454	141.6888	302.35200000000003	51412.4354	540.9796	1218.6221	130.1047	358.6314	112.5707	36076.2512	214.7275	10.4609	488.409	489.1337	543.9556	407.6633	22103.5517	224.4824	144.6801	348.7636	1469.5877	196.8358	1514.5064	1783.1175	8254.8197	305.4999	443.5321	1634.8054	2108.8543	1578.807	1024.078	1094.0794	1301.4715	233.4742	653.3032	526.0627	85.5483	120.4466	282.2713	873.5684	270.7972	249.7983	2649.8948	288.3006	1259.819	134.513	542.302	3101.5119	36.4446	408.5545	22.5647	253.4136
GALACTUROCAT-PWY	D-galacturonate degradation I	22550.192000000003	25464.9587	19271.4924	20595.9106	28727.3958	24701.1441	23850.9004	33816.712	26125.9894	37094.9038	34159.8275	13088.5954	16192.7644	34165.3718	13712.3006	19806.8277	44831.8423	33244.7917	33842.4639	31650.3986	84858.3105	31289.9967	33401.6695	80760.9411	38353.3844	38569.2613	14038.9787	29548.8093	22930.3181	27965.2469	21475.006	30197.5337	34555.8037	26168.3967	24563.8346	32407.3303	32585.6206	33914.7349	27415.1715	23590.4339	25875.0518	25766.8751	29915.2088	33343.2432	22726.6829	31591.3219	22888.3227	29185.1016	22107.9849	16149.3214	31941.9761	22553.217	22057.3307	26493.1517	24089.4262	31695.631	18064.0908	21465.066000000003	26460.3107	30974.3494	16362.496000000001	34381.5704	67884.0186	30680.8987	70390.3929	53927.2838	30154.8174	78751.5577	18833.5973	49051.9483	34698.3674	52067.1277	23678.2056	36812.6212	23461.7902	25146.0865	24268.681	29808.9273	29582.3979	30884.1571	47879.3973	29924.951	51656.9334	27543.2315	72502.5217	35782.6654	23095.2464	48757.3688	39169.8637	36652.7139	55613.4796	48417.5507	52517.5579	21456.9647	60988.8234	61794.1299	57466.6397	69468.7842	46421.1322	64871.6497	69176.1791	20809.5251	55176.9308	32086.3618	48777.115999999995	44940.3335	29405.8718	21679.692000000003	21595.6793	20041.8832	23078.2123	81799.8016	53428.9769	60430.8081	28033.582000000002	21138.2936	48794.737	30864.8205	51430.2417	20769.4583	30889.9673	34723.0451	41572.6903	56464.1612	31676.8734	26095.0684	45144.8942	24170.1379	29076.6566	32407.898999999998	29574.5541	22487.3418	33649.0145	27236.2868	17367.4409	31673.7149	29093.1838	35628.31	24799.2911	23159.5874	28343.3773	19250.1113	41397.3617	28860.4396	26549.3528	10631.9011	13086.5947	31650.7931	9875.0643	7816.8499	17071.4844	22131.6196	13598.4587	19821.8523	23028.0455	24333.9327	24369.6594	26436.3588	19656.2501	17478.2021	22349.6035	21211.1177	27293.15	17422.557	26700.4591	23997.6405	13186.8271	31232.2403	19163.1006	22362.9865	28868.0254	21306.4177	31457.1804	17920.1183	15907.8076
GALLATE-DEGRADATION-I-PWY	gallate degradation II	0.0	0.0	0.0	0.0	10.7948	0.0	0.0	0.0	0.0	0.0	0.0	13.3053	0.0	3.1967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5397	0.4374	5.2784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2	0.0	13.17	0.0	0.33	0.0	0.0	0.0	0.0	1.33	279.5756	42.25	0.0	0.0	0.0	559.0	0.0	3.9988	4.8	0.8911	0.0	0.0	4.0	456.3303	0.0	0.0	0.0	0.0	910.41	5.2448	0.0	4.898	0.0	0.0	0.0	1918.4909	0.0	0.0	0.0	0.0	2597.83	0.0	2.6509	0.0	0.0	613.8266	2.6218	0.0	0.0	0.0	1135.4499	16.359	0.0	0.0	15.9075	0.0	0.0	55.34	0.0	0.8925	0.0	0.0	3.0	0.0	0.0	0.0	2.6653	7.67	0.0	0.0	0.0	0.0	0.0	16.1653	0.0	4.9417	12.0	0.0	0.0	3.8824	0.0	0.0	16.886	16.0	6.2235	0.0	0.0	0.0	0.0	0.0	0.0	9.1034	3.0353	0.0	0.0	0.0	4.0	3.9896	0.0	0.8885	0.0	0.0	9.3659	3.2447	1.3151	0.0	0.0	0.0	3.7295	0.0	0.0	0.0	14.592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALLATE-DEGRADATION-II-PWY	gallate degradation I	0.0	0.0	0.0	0.0	10.7948	0.0	0.0	0.0	0.0	0.0	0.0	13.3053	0.0	3.1967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5397	0.4374	5.2784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2	0.0	13.17	0.0	0.33	0.0	0.0	0.0	0.0	1.33	279.5756	42.25	0.0	0.0	0.0	559.0	0.0	0.0	4.8	0.8911	0.0	0.0	4.0	456.3303	0.0	0.0	0.0	0.0	910.41	5.2448	0.0	4.898	0.0	0.0	0.0	1918.4909	0.0	0.0	0.0	0.0	2597.83	0.0	2.6509	0.0	0.0	613.8266	2.6218	0.0	0.0	0.0	1135.4499	16.359	0.0	0.0	15.9075	0.0	0.0	55.34	0.0	0.8925	0.0	0.0	3.0	0.0	0.0	0.0	2.6653	7.67	0.0	0.0	0.0	0.0	0.0	11.385	0.0	4.9417	12.0	0.0	0.0	3.8824	0.0	0.0	16.886	16.0	6.2235	0.0	0.0	0.0	0.0	0.0	0.0	9.1034	3.0353	0.0	0.0	0.0	4.0	3.9896	0.0	0.8885	0.0	0.0	9.3659	0.0	1.3151	0.0	0.0	0.44	3.7295	0.0	0.0	0.0	14.592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	23036.3787	37219.6122	17300.2323	20389.2938	19048.495	30413.2522	38094.079	19388.6879	29449.8104	35113.5237	31684.9543	12456.1501	22082.0575	23047.7187	13187.7601	19123.214	37154.2395	23765.7929	22607.2705	34781.5884	33301.7807	26717.8496	31469.0322	33750.8828	29534.7176	35196.9048	11242.8934	29030.8892	22295.7021	24093.6402	21279.3747	22266.2125	22420.272	25046.5491	14267.6867	23945.7038	29248.5138	18481.2218	22863.3817	12240.7101	11374.3623	15852.0629	13425.041000000001	28589.1394	8740.2074	19958.3546	11950.4072	16695.0051	20355.5824	8726.0402	16527.6142	11125.2613	9877.6449	15332.1762	7554.4798	18517.9294	21662.8609	18866.2211	29653.911	26564.7556	18263.8444	12193.1034	34756.0253	35292.4973	22729.6996	20496.7572	18851.6983	33484.1974	20003.8902	7302.2578	41489.1878	12683.4648	33073.1185	18284.3151	7483.5934	8814.4579	27889.7443	29987.1267	26179.9716	27625.5617	19617.8038	32878.4743	21815.3136	49485.9556	44493.59099999999	38915.1589	13632.5855	9814.2639	42131.7053	10315.4844	20719.4725	18915.588	9166.3495	20715.0687	18961.8997	18160.858	23153.3176	15588.229	52932.0247	10632.7176	16052.6416	8589.001	8902.4548	34638.7564	12119.3662	7248.0406	27725.0	23335.1027	18910.4918	24221.8188	22608.127	26267.8018	19317.7287	25726.0789	17443.3553	16638.6367	19053.534	14847.5729	12725.1569	13093.158000000001	35651.3817	10423.3201	23995.0565	12634.2795	25439.1393	26816.2432	50683.4887	29480.9436	7053.1246	7868.3035	7079.4073	7266.7364	38405.5584	32669.8028	3685.8945	10086.5662	3795.7582	21901.4529	31321.9206	32148.6109	32218.2845	6956.5114	8674.4497	10350.8995	10430.2917	9983.4949	17689.6815	34256.0045	31808.2904	9976.1168	17629.736	20226.7699	17874.7801	22466.9683	32102.4199	35349.8893	25506.2628	31396.8282	49583.5725	19391.4581	23189.9346	22107.2962	19552.425	25462.4626	19416.0444	23047.3097	16869.536	27278.9636	19390.1078	15809.5854	29920.4214	13195.4245	29432.5608	10378.0232	7037.1009
GLUCARDEG-PWY	D-glucarate degradation I	295.7446	128.7141	123.7888	123.9745	591.1711	183.9002	145.0822	212.13400000000001	242.4143	836.8816	223.5548	984.6926	1208.1462	2947.415	1901.2232	1173.2006	1079.8210000000001	687.7094	883.5967	1834.1398	706.8044	132.6356	739.1262	257.7414	1284.626	327.60200000000003	301.3295	2704.4248	217.44400000000002	1258.778	303.6476	247.9091	1983.4721	394.4525	120.5043	253.3911	1474.8132	330.6134	194.2435	72.5171	68.6465	848.5835	751.804	1084.447	602.0985	834.5408	78.3502	246.9035	252.4051	210.6409	221.1006	1035.4995	427.86300000000006	791.0397	200.493	381.8924	3629.6523	2418.4465	27306.1563	9623.1031	2322.7834	219.4306	1500.5528	33327.4345	5004.6972	1839.5369	357.5341	497.0049	21121.1141	1145.1422	4291.1639	668.4584	3059.9703	1032.9089999999999	86.8865	1387.3769	25424.7216	456.4737	2722.6273	309.4539	693.1395	34114.4421	1495.7722	3057.2955	2142.7026	4841.4248	63.6603	670.8631	39155.2292	1213.1893	1191.194	251.6821	382.4611	22016.1052	1169.2904	1667.6589999999999	242.0734	868.1296	48503.1008	2134.8569	705.7223	274.0681	148.1196	35519.9044	1046.4917	335.4238	5552.0830000000005	4373.443	2817.2042	5117.7684	21212.1237	2597.7548	2823.955	1163.8878	2325.3951	11402.0833	5870.2036	2197.5512	1418.0825	2717.4069	28044.6877	1633.1686	2709.5904	1984.7153	2142.5496	652.8508	51568.0761	751.1212	808.7733	143.059	222.5503	204.0703	36101.1852	259.5603	108.1632	468.6162	308.0321	6963.5344	869.2194	22092.9658	377.6899	102.8362	364.9346	929.0022	239.3252	2220.9999	2260.2944	11116.0189	725.7284	629.9094	2125.6017	2810.8309999999997	1640.1386	1133.8599	1658.4173	1465.4047	353.2682	725.0928	793.3365	123.4764	132.44	366.2062	906.4441	429.6139	409.1412	2699.6676	298.705	1353.0420000000001	113.742	700.1071	3158.3224	76.5103	338.6016	20.6365	253.4136
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	450.6026	80.1202	95.3148	179.7123	500.4659	118.016	124.0385	194.7144	29.9166	377.1906	163.5266	338.3305	627.9894	953.6056	1220.2065	967.4821	618.4472	199.1622	857.6156	667.9346	384.8239	54.0917	123.57700000000001	213.30700000000002	983.3347	180.8386	161.915	450.9163	110.5499	1163.3581	139.6672	138.8278	336.2967	189.9968	69.8891	78.8421	1256.4999	158.5003	181.0626	59.7408	63.4326	783.9901	721.3203	1263.4326	713.5615	814.3798	39.3044	125.3377	276.3499	199.7632	270.7406	967.4843	457.5996	809.0077	222.1196	305.6043	956.0135	2164.7842	27202.6656	9009.1766	1828.6666	84.8273	1318.0016	33316.9012	4971.2533	1761.3346	75.0955	372.4099	21121.1141	1078.9816	1685.4015	605.2005	2777.1723	161.7492	57.2275	1369.2588	25353.541	400.5389	1324.3598	226.4652	630.6442	34061.4991	1194.3179	1787.7526	2007.9492	2370.0928	34.4391	411.5313	39127.9877	817.3868	995.5357	75.6331	97.8264	22016.1052	871.3281	1487.4070000000002	125.5645	642.9702	48487.5103	2029.2667	478.1645	208.0468	118.962	35519.9044	984.2041	335.4238	4323.5194	3278.0412	2282.2205	2085.4604	21039.7691	685.0177	2441.5887	574.8142	380.1702	11282.5697	998.2035	1194.2655	421.421	166.7807	28018.123	997.0728	1004.4136	217.7454	141.6888	302.35200000000003	51412.4354	540.9796	1218.6221	130.1047	358.6314	112.5707	36076.2512	214.7275	10.4609	488.409	489.1337	543.9556	407.6633	22103.5517	224.4824	144.6801	348.7636	1469.5877	196.8358	1514.5064	1783.1175	8254.8197	305.4999	443.5321	1634.8054	2108.8543	1578.807	1024.078	1094.0794	1301.4715	233.4742	653.3032	526.0627	85.5483	120.4466	282.2713	873.5684	270.7972	249.7983	2649.8948	288.3006	1259.819	134.513	542.302	3101.5119	36.4446	408.5545	22.5647	253.4136
GLUCONEO-PWY	gluconeogenesis I	53279.1157	70544.4323	40250.587999999996	50303.935	53691.8898	66260.087	66380.6395	61840.3585	57526.6891	68758.0193	75371.5207	28556.1532	45658.5847	99392.6085	50332.777	68594.4663	62487.0286	47036.3515	47130.8345	51961.4093	102857.4097	48111.2099	58824.8111	97703.7954	62189.2896	68276.2542	31820.8277	48024.0358	43674.8475	48363.1835	46257.6715	61441.0402	66613.0478	96440.5232	56716.3208	74708.845	81842.1104	72875.7294	96362.9413	57204.7693	57560.9061	58469.5308	59284.96599999999	78754.1138	39346.6171	68935.2271	49585.1519	75060.2611	51263.4549	41710.2413	78864.5798	42060.6177	44991.9658	56772.4763	43023.7529	74160.9704	41395.6923	53101.7846	68771.391	59005.1705	37930.8849	53681.4457	105746.2476	69788.723	94320.8866	75082.7842	51528.3177	125535.7056	42417.2267	66961.1462	59820.497	75038.4133	53490.0385	61701.8219	40831.464	39924.0269	62102.482	58019.7113	59982.8843	63928.265999999996	87976.9732	90892.6496	89750.0985	63501.5251	123415.9974	71255.1171	43502.9291	79358.775	109803.921	56038.9854	92823.6172	82879.8429	88861.6293	38767.6387	95529.0172	98923.7364	110256.2675	105743.66900000001	68279.3977	100195.7814	105593.9203	39432.2157	83786.5473	52721.4104	82914.3124	74527.8509	78625.1331	95882.7367	90095.8565	61123.4147	157146.29	130321.469	86117.6572	97238.9881	48684.8751	75584.1457	68777.308	59248.5181	83054.6298	37801.043	92487.3165	60010.0564	89539.2746	80826.4994	39758.5983	48111.768	102365.6057	66172.2151	56460.2232	59701.0152	56485.3149	49946.1302	66522.0743	74688.0349	36670.0437	73712.1674	56131.4526	89131.1848	69568.635	56174.5254	89219.004	40153.6281	84839.7041	59613.2211	62317.7245	60789.5084	36646.6625	63639.2027	43691.3499	25812.6931	33135.4029	41060.184	30484.1097	43663.4587	48521.4228	52358.575	45552.8609	54949.395	77753.7061	50254.8574	64487.1775	42032.3327	62352.3456	49829.8097	60734.0233	52150.0477	41057.9759	65553.8719	58480.9201	51650.9417	69311.2137	49663.7241	73363.0541	39084.6099	29285.8286
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	15197.9046	16940.3665	6518.8161	13210.2285	6463.803000000001	14284.1701	12022.3659	16212.0965	10828.4037	7335.4739	24574.729	1300.1337	166.3676	275.7005	60.8044	314.454	104.40700000000001	134.1287	31.9881	439.6088	106.7592	4468.4256	767.1005	46.8077	6841.5249	6494.1312	970.3047	198.4265	1427.9285	225.2843	3895.9358	900.6469	890.9759	825.8974	256.6889	415.8917	1515.871	182.2603	1892.7303	1132.3874	1567.7175	1929.1629	120.8665	196.0742	150.6857	1211.1535	1144.5812	4096.7907	379.4986	617.2589	2503.1669	538.6369	714.5558	220.7252	90.5595	1485.2855	3670.2405	3293.2216	30499.3624	13236.9275	2209.4998	6001.361999999999	2114.9726	37855.0844	8838.851	3001.5751	4943.9033	15525.0183	23332.2109	7191.9183	70.2986	8028.456999999999	291.9023	9150.8491	9794.246	7517.3864	30313.5092	8613.793	69.2975	13113.2595	27977.5998	41313.4884	25034.2314	70.1201	18215.7914	59.8151	9294.6939	17856.646	48246.47900000001	9649.3458	17668.4301	23527.6887	29003.1684	24002.9999	28415.0137	16130.8331	30845.3296	19767.1993	46244.3635	33519.6139	19604.9333	12060.9905	17725.1744	35136.2392	24220.0898	26012.7978	3594.4544	741.1248	1598.983	788.3209	30523.8731	1040.305	4102.6083	324.7411	735.6603	15813.1523	8551.746	7812.1558	11781.7989	4351.376	39965.5569	663.8123	2010.0238	734.5781	1027.2331	71.7842	57172.3297	48.3216	2200.2854	1079.7025	1134.1994	2068.1733	40510.1247	62.1349	1449.0135	1825.6161	1732.1227	5290.0008	61.6512	34763.5386	75.9655	2682.9668	4865.2074	2714.6294	3932.1984	1035.6802	26.8311	57.9985	76.9314	22.8321	58.7893	2759.0679999999998	4039.8541	5036.5929	2855.4748	2717.6374	47.9758	58.3518	29.334	30.4905	50.0793	90.9077	435.1994	30.4894	69.4607	19.496	15.9966	40.4862	39.4861	41.8222	81.7865	13011.1693	19654.4051	10059.8729	3033.4904
