,Acetyl.CoA_assimilation,Aerobe,Biotin_prototroph,Carbon_fixation,Coenzyme_A_prototroph,Dissimilatory_sulfate_reduction,Fructose_utilizing,Galactose_utilizing,Glucose_utilizing,Glycine_prototroph,L.alanine_prototroph,L.arabinose_utilizing,L.arginine_prototroph,L.asparagine_prototroph,L.aspartate_prototroph,L.cysteine_prototroph,L.glutamate_prototroph,L.glutamine_prototroph,L.histidine_prototroph,L.isoleucine_prototroph,L.leucine_prototroph,L.lysine_prototroph,L.methionine_synthesis_with_homocysteine_as_intermediate,L.methionine_synthesis_with_methanethiol,L.phenylalanine_prototroph,L.proline_prototroph,L.selenocysteine_synthesis,L.serine_prototroph,L.threonine_prototroph,L.tryptophan_prototroph,L.tyrosine_prototroph,L.valine_prototroph,Lactose_utilizing,Maltose_utilizing,Nitrogen_fixer,Sucrose_utilizing,Sulfur_reducer,Trehalose_utilizing,Use_of_nitrate_as_electron_acceptor,Xylose_utilizing,IsAcetateProducer,IsButyrateProducer,IsPropionateProducer
sample146,329014.9023969975,73371623.68869011,308207.63584224664,0.0,336817.62735502905,15093070.977152381,327714.44823732553,308207.63584224664,352423.07727109216,108417562.83768883,37969360.099941246,308207.63584224664,322512.6315986378,106673653.80956881,93744538.55411051,53833600.39377907,108452675.09999998,99733129.95939972,1351171.8718991317,2468261.995057317,1955883.0561465777,17970976.032506358,334216.7190356852,334216.7190356852,327714.44823732553,35361949.509799026,20675920.68462396,18292188.20994532,1620365.882951221,1137897.3897129358,330315.3565566694,2777770.0850592353,0.0,62421.799664252496,0.0,310808.5441615905,1833640.3651374166,308207.63584224664,347221.2606324044,2600.9083193438532,32863777.069069266,9518023.994638832,23243017.19581634
sample147,105511.80232586506,59596208.85839872,105511.80232586506,0.0,124593.72402309599,25107319.08962713,103266.87036148495,105511.80232586506,115613.99616557555,110322691.52553168,37863022.51123492,105511.80232586506,153777.8395600374,109627885.08255602,85283842.86081813,61636852.01402027,110419223.60000002,94312959.22155492,511844.4878786646,1126955.8461188138,871033.6021794818,26602443.777904283,124593.72402309599,124593.72402309599,115613.99616557555,35472169.96917009,44651696.771520354,3796179.951766764,9044830.884487456,351331.8524254869,115613.99616557555,1206650.9308543077,0.0,280616.4955475135,0.0,93164.67652177447,845216.8845891106,93164.67652177447,211023.60465173013,12347.12580409059,26468870.32602366,10143725.08105152,17398222.723945837
sample148,743239.3521629972,47668140.572290465,743239.3521629972,0.0,743239.3521629972,6965768.467489378,782017.0574932406,743239.3521629972,814331.81193511,82769719.43722676,24361447.078636542,743239.3521629972,743239.3521629972,80687356.6609927,69814088.08639245,40292621.01847818,83568540.16702978,77174096.55807261,1375315.9490459636,2640761.732989571,1761800.4121707221,9232971.639130937,784602.2378485901,784602.2378485901,784602.2378485901,20991664.48543839,12616972.724283507,9295015.967659324,3555915.5787833147,1178842.2420393974,784602.2378485901,2755802.2588026263,14218.491954422556,1140064.5367091543,0.0,740654.1718076477,1061216.5358709926,740654.1718076477,1106457.19208961,127966.42758980299,28359428.49818462,11409693.498335265,25360619.285979144
sample149,41368.16450445332,55626391.87032155,41368.16450445332,0.0,94802.04365603882,2640667.8342009364,53433.879151585534,41368.16450445332,53433.879151585534,139417609.07409176,21208079.002616398,41368.16450445332,75841.63492483107,137692211.87955186,115908425.9209151,57648260.91047671,139533095.20000002,119971124.40995665,372313.48054007965,1908106.5877679086,1692647.3976405477,12501804.047949994,55157.55267260442,55157.55267260442,53433.879151585534,13117155.494953735,17205709.08681054,5991489.1590616545,3557662.147382985,212011.8430853232,53433.879151585534,2142526.186626477,6894.6940840755515,573983.2824992896,18960.408731207765,48262.85858852887,1821922.9117169643,41368.16450445332,156854.29041271878,0.0,26632479.573262833,20601345.923217747,15949151.089987773
sample150,27807.25877140627,58152561.88885726,27807.25877140627,0.0,83421.7763142188,1703826.5829025297,37918.98923373582,27807.25877140627,37918.98923373582,109866479.40582618,16661603.869303519,27807.25877140627,27807.25877140627,107689929.42380977,94878366.9280382,31065763.912891973,110121800.6,98296131.82430561,685069.7388228272,3915767.621537119,3614943.640282815,14555836.000523388,27807.25877140627,27807.25877140627,37918.98923373582,13322204.884119187,8948881.459161654,9393797.599504156,3678141.9556723745,313463.6443322162,37918.98923373582,4191312.2766356,0.0,1463672.984422203,0.0,27807.25877140627,3784315.125526835,27807.25877140627,273016.7224828979,0.0,25077091.546577297,16699522.85853726,19952972.134791795
sample151,67243.07374047936,35703581.671981916,59771.62110264832,0.0,59771.62110264832,358629.72661588993,72224.04216570006,59771.62110264832,80940.73690983627,106725965.20509747,7630843.627438102,59771.62110264832,62262.10531525867,105975084.21499544,96934626.52321988,22070671.09215289,106917732.48946847,98730265.64051194,308820.0423636829,716014.2111254747,692354.6111056764,5076852.0674061915,62262.10531525867,62262.10531525867,78450.25269722592,5391898.3203014005,6050631.394536837,2520370.023161671,2212795.222904293,197993.49490252257,78450.25269722592,810652.6112046678,0.0,753371.47431463,0.0,62262.10531525867,724730.9058696108,53545.410571122455,232860.27387906742,6226.210531525866,13669022.600911885,9487499.607939113,9098984.070771901
sample152,80594.60379528986,48352924.43889796,80594.60379528986,0.0,80594.60379528986,539216.2777732487,126648.66310688405,80594.60379528986,126648.66310688405,127036284.77275665,8579487.465922402,80594.60379528986,101702.71431310388,125829284.63496529,105164444.43802539,26394732.742957424,127093852.34689614,109794796.31797858,397216.2615625,1201243.3803774153,1141756.8870999396,5906433.106711957,117054.06741696861,117054.06741696861,126648.66310688405,5595568.206358695,9441082.158876812,1757729.9303925124,1598459.6419399153,285918.9515594806,126648.66310688405,1325973.1243463163,0.0,117054.0674169686,34540.54448369565,103621.63345108696,1185892.0272735506,80594.60379528986,128567.58224486717,0.0,14282515.144008152,11371514.811687805,11244866.148580922
sample153,97385.89221779232,72663155.48886642,97385.89221779232,0.0,97385.89221779232,951725.7648556976,170425.3113811366,97385.89221779232,170425.3113811366,185841055.45606664,27626606.969601907,97385.89221779232,132798.94393335318,183866777.8229241,155556256.29206547,53989410.65610473,185973854.4,162224976.59325197,396183.516067837,1511694.6451080034,1436441.9102124367,7963510.004536745,143865.52259446593,143865.52259446593,170425.3113811366,8702757.459099079,29454805.764417734,3904288.9516405826,1184123.9167390657,245678.0462767034,174851.9428455817,1741879.4812591488,0.0,283304.4137244868,0.0,128372.31246890807,1624573.7474513538,97385.89221779232,196985.10016780722,4426.631464445106,26234431.374033924,15136866.292670041,15353771.234427849
sample154,69851.04779103515,50794808.815543376,69851.04779103515,0.0,69851.04779103515,807652.7400838438,91679.50022573363,69851.04779103515,91679.50022573363,135277468.2735569,9128658.808190908,69851.04779103515,69851.04779103515,134550580.8074814,115808671.54704931,29472776.47732989,135380061.99999997,119471485.86559169,255392.89348597225,894966.5498226378,873138.0973879395,6463404.76591422,91679.50022573363,91679.50022573363,91679.50022573363,6683872.135504675,9534668.023476299,2621597.137407288,1789933.0996452756,183359.00045146726,91679.50022573363,894966.5498226378,0.0,694144.7874234117,0.0,69851.04779103515,803287.0495969043,69851.04779103515,172444.77423411806,0.0,16633280.755240247,8884180.140922282,7349639.934762978
sample155,14522.764560397354,40917229.02325772,14522.764560397354,0.0,39607.53971017462,201998.45252189055,18483.518531414815,14522.764560397354,18483.518531414815,102988845.0057197,6170854.686845207,14522.764560397354,14522.764560397354,101100885.61286806,95781593.0297916,15407332.947257925,103132752.4,96890604.14167649,240285.74090839262,1176343.929392186,751223.0031696451,5512049.276332634,18483.518531414815,18483.518531414815,18483.518531414815,5765537.530477751,2262910.768774643,1814025.3187259973,4294777.555906601,171632.6720774233,18483.518531414815,1205389.4585129807,3960.7539710174615,656164.9078652262,0.0,14522.764560397354,771026.7730247324,14522.764560397354,158430.15884069845,3960.7539710174615,9049002.572451228,4197078.957954837,6442826.459521738
sample156,148816.5331479211,150187085.41288018,127214.13317483578,0.0,223224.79972188166,367240.7995424504,127214.13317483578,127214.13317483578,196821.86642144402,240674738.3668072,15524924.780657317,127214.13317483578,127214.13317483578,240439512.2337669,214173394.1331589,81868295.364666,240770749.03335422,214747057.86577746,5383798.1266255975,68753238.31433953,68633224.98115572,80123301.50017345,151216.79981159724,151216.79981159724,151216.79981159724,16821068.779042438,11048427.452901304,70375818.57898462,8494543.722749883,703278.1324571108,151216.79981159724,69427713.24683253,0.0,453650.3994347918,0.0,103211.46653807431,68645226.3144741,103211.46653807431,223224.79972188166,24002.66663676147,81856294.0313476,8842582.388982926,73544170.57503712
sample157,153732.42850843348,200915985.46624187,153732.42850843348,0.0,707169.171138794,107612.69995590344,181404.2656399515,153732.42850843348,295166.2627361922,278698444.994369,54608833.25476574,153732.42850843348,153732.42850843348,278080440.631765,266086236.55953702,57960200.1962496,278873699.9628686,268705837.1413207,39955058.16934186,73364189.53279462,72952186.62439203,88303906.9352442,181404.2656399515,181404.2656399515,181404.2656399515,55955529.32849961,6256909.8402932435,79953161.41866606,10020279.690179693,2745661.173160621,181404.2656399515,78016132.81945981,0.0,488869.12265681836,24597.18856134936,196777.50849079486,76116000.00309558,153732.42850843348,328987.3970080477,0.0,86486789.63027453,5088543.383629148,81681113.91510087
sample158,193841.07219139632,174199752.7803104,193841.07219139632,0.0,313127.8858476402,342949.5892617012,175202.50755760822,193841.07219139632,309400.1729208826,228419337.30000004,34179399.82544064,193841.07219139632,290761.60828709445,228255317.9312227,190515952.2607285,95720212.53328219,228419337.30000004,189934429.04415426,12357368.352201516,83105631.98913442,81741289.05794112,86851983.48052582,227390.4885322149,227390.4885322149,227390.4885322149,24483618.50294406,18776490.012078136,93129452.04918568,2195622.913860239,1282333.2468046218,227390.4885322149,85032859.57226811,0.0,0.0,0.0,141653.09121678962,82140154.3411042,141653.09121678962,193841.07219139632,52187.98097460669,104964940.59164111,6590596.454507476,88454900.0390316
sample159,129657.70534719477,190714959.43635926,112370.01130090213,0.0,253552.846012292,463886.4569088524,146945.3993934874,112370.01130090213,193045.91685026773,320548423.0063581,40732688.455406494,112370.01130090213,144064.11705243864,318762027.95490783,276228538.03634584,50696162.79075315,320663674.3,277899681.79415405,12216637.126046795,34771315.29177658,34471661.92830751,48549607.446671814,178639.5051450239,178639.5051450239,146945.3993934874,27207949.14652356,27539296.61574417,36828550.8832854,10545493.368238509,2477902.8133019446,146945.3993934874,35344690.477645285,0.0,458123.8922267548,0.0,175758.2228039751,34586913.22194946,112370.01130090213,259315.41069438952,0.0,49592631.654131465,6788301.195510909,42153160.649543546
sample160,100283.58975450436,224439130.91901428,57941.62963593586,0.0,283022.5755293791,251823.23649464428,102512.11397127114,57941.62963593586,151539.64674013996,287432824.95436037,24504852.287567332,57941.62963593586,57941.62963593586,287452881.67231125,276575454.9702727,166263506.2403179,287811674.0712107,277143728.6455483,2422405.8236254724,151365821.8512321,151064971.0819686,163970354.82126492,120340.30770540526,120340.30770540526,102512.11397127114,15619726.235318247,20544764.75437279,153286809.72608507,10416122.189167853,907009.3562240727,102512.11397127114,151900667.66325614,0.0,1595623.3392050024,0.0,57941.62963593586,151205368.1076249,57941.62963593586,365477.9715497492,0.0,158902690.7523373,2905995.5786638595,153799370.2959414
sample161,27422.945191642026,31826747.56653512,27422.945191642026,0.0,46780.318268095216,618629.3812349833,47586.8754796141,28229.50240316091,47586.8754796141,82910855.11529511,5808825.0373589955,27422.945191642026,43554.08942201968,82637432.22059022,64213245.83786437,18754068.282237068,83174599.32346179,65220635.79505143,300039.28268502455,1710707.845631551,1599402.9504419453,7629224.6637571165,59685.233652397335,59685.233652397335,47586.8754796141,7425165.689242836,5316825.138332478,2951192.8369475934,3895671.331636206,155665.54182314445,47586.8754796141,1772006.193706986,0.0,892858.8331514036,0.0,61298.348075435104,1615534.0946723227,27422.945191642026,257291.75047452367,0.0,10080352.029563004,5795113.564763174,6079021.703217821
sample162,19061.777405628196,24186766.317065537,19061.777405628196,0.0,49955.00285612906,97938.09770477931,33522.43612713923,19061.777405628196,36808.949472937195,48016617.28477741,5055972.131175588,19061.777405628196,19061.777405628196,46641540.10089554,44887856.57957775,11974740.026749466,48152021.63462429,45386749.30546988,293814.29311433807,1469071.4655716897,1417144.5547080818,5882858.888978356,36808.949472937195,36808.949472937195,36808.949472937195,5652145.652103338,963605.7129879631,3855080.154621012,2737008.3143805447,176157.11533477088,36808.949472937195,1595273.5780503317,4601.1186841171475,403583.83886399,0.0,15775.264059830231,1457897.3201959766,15775.264059830231,129488.62582443978,7887.632029915111,8329996.726259518,4121945.0382998073,6528987.412762235
sample163,28131.64419674532,49409096.02508361,28131.64419674532,0.0,87704.53778985303,200231.11457683425,31441.249396362415,28131.64419674532,48816.676694352165,88049564.13191313,8886289.960971903,28131.64419674532,31441.24939636242,85727048.68308184,83027238.2414942,29054196.64613858,88157126.30090068,83144729.22608061,439350.0902491695,6723462.96302213,6611763.787535052,16652278.561873417,39715.26239540515,39715.26239540515,36405.65719578806,14477867.945724988,1570407.6672183117,11227835.639700998,8360062.734232784,273869.8302683147,36405.65719578806,7037048.055685849,0.0,270560.22506869753,0.0,23167.236397319677,6647342.043430936,23167.236397319677,138176.01708401373,4964.407799425644,18082028.008108,3495770.4920955584,13203669.9438724
sample164,38696.76483784556,39490672.65838975,38696.76483784556,0.0,81138.37788580521,877542.7639034007,49931.30946818782,38696.76483784556,64910.70230864416,91467917.53203654,16501049.496499369,38696.76483784556,72400.39872887233,90612843.85739383,82311763.65830763,32844815.36817394,91799960.74000001,84712211.36099076,305829.2704926504,1469228.7811014263,1385593.8377422118,9284726.995609524,61165.85409853008,61165.85409853008,49931.30946818782,9126195.088048028,14028201.395087365,4517535.224134292,2720008.0832795305,194732.10692593252,49931.30946818782,1611533.0130857613,6241.413683523477,1047309.2160952395,0.0,44938.17852136904,1451752.8227875608,38696.76483784556,317063.8151229927,0.0,13819738.178057682,9339651.43602453,8732986.02598605
sample165,15785.468948716567,18256684.112638146,15785.468948716567,0.0,15785.468948716567,150751.22846024323,15785.468948716567,15785.468948716567,15785.468948716567,43924645.89669874,3644075.5068112193,15785.468948716567,15785.468948716567,43558423.01708851,40334240.984313145,8989035.292846654,44062768.750000015,41248219.63644383,202054.00254357207,1254944.7814229676,1249419.8672909166,3753784.516004801,15785.468948716567,15785.468948716567,15785.468948716567,3045806.233654862,3306266.4713086854,2026854.2130152076,1688255.9040652371,86820.07921794114,15785.468948716567,1310193.9227434755,0.0,580115.9838653338,0.0,15785.468948716567,1268362.4300293766,15785.468948716567,133387.21261665496,15785.468948716567,7161077.988585273,4566736.166863704,5364691.622221326
sample166,46482.06109001225,46006303.52356153,46482.06109001225,0.0,79292.92774178559,208713.56842378047,62887.494415898924,42836.409239815206,68355.97219119448,101943362.68705982,7054336.330131269,46482.06109001225,42836.409239815206,101411097.51693103,90107753.95539512,16483814.840665912,101993490.40000004,91595179.9102755,799309.1681557009,1945866.6750426693,1315168.9049585818,6237710.315687134,60153.255528251146,60153.255528251146,64710.320340997445,7178288.493037971,2786189.426513087,4084952.8981457823,3745907.2760774572,679002.6570991987,64710.320340997445,2069818.8379493686,0.0,155851.6165959234,0.0,41013.58331471669,1394461.832700367,41013.58331471669,92052.70921747525,5468.477775295559,14060367.773247428,4284552.336944069,5548682.115999893
sample167,41877.49701061802,27704819.556410905,41877.49701061802,0.0,41877.49701061802,600561.3775840905,63768.006811622894,41877.49701061802,63768.006811622894,76806184.80136053,8654365.461762493,41877.49701061802,64719.768107318756,76712912.19438232,64295282.56943842,12474735.302685693,76908023.25999999,65897096.83009454,226519.18837561572,586284.9581486523,558683.8805734722,4294346.96617974,52346.87126327252,52346.87126327252,63768.006811622894,4264842.366013168,9243505.703798234,844212.2692822316,2551672.033760612,140860.67176298794,63768.006811622894,614837.7970195283,0.0,223663.9044885281,8565.851661262777,41877.49701061802,545359.2224337303,41877.49701061802,122777.2071447665,0.0,6869813.032332748,4533239.051399402,3708062.0080310875
sample168,127780.00894367743,67349031.73148948,98637.19988634749,0.0,98637.19988634749,842899.7081196967,165889.83617249352,127780.00894367743,179340.36342972273,173511801.61825675,27963646.167779513,98637.19988634749,98637.19988634749,172711495.24645165,131041761.80355549,47489328.23619057,173556636.7091142,144474355.02444172,464043.19037440745,1385404.307494608,1212789.2076935,6817175.564872336,179340.36342972273,179340.36342972273,150197.55437239277,7994096.69987989,29214545.202701826,3591290.7776801977,1954809.961383978,374373.00865954615,150197.55437239277,1477316.243752341,0.0,141230.53620090664,29142.809057329938,105362.46351496209,1230723.2440364724,85186.67262911829,172615.09980110812,13450.527257229203,29470105.220589183,18613287.969462343,17174081.55293882
