,Variable,Statistic,P-value,log10(P-value)
141,Faecalitalea,0.8839819855410819,0.7228,-0.14098185611110575
142,Family-XIII-AD3011-group,27.81973669638776,6e-06,-5.221848749616356
143,Family-XIII-UCG-001,501.10733407157943,9e-06,-5.045757490560675
144,Firmicutes,1.3095238095238098,0.2868,-0.5424208530042375
145,Flavobacterium,0.06887196150637186,0.9567,-0.019224226037378372
146,Flavonifractor,6.452585655796737,9e-06,-5.045757490560675
147,Frisingicoccus,2.3446484846001385,0.0119,-1.9244530386074692
148,Fusicatenibacter,,1e-06,-6.0
149,Fusobacterium,0.9210938774390701,0.2911,-0.5359577945611892
150,GCA-900066575,1.0917298984331847,0.3808,-0.41930306028756326
151,Gastranaerophilales,1.1394081156480773,0.3312,-0.4799096718871575
152,Harryflintia,4.609292647120536,0.0165,-1.7825160557860937
153,Helicobacter,3.81909797155709,0.0127,-1.8961962790440432
154,Helicobacter-ganmani,2.5586579337239415,0.0118,-1.9281179926938745
155,Helicobacter-hepaticus,3.107534379144649,0.0679,-1.1681302257194983
156,Helicobacter-mastomyrinus,1.4830204385454193,0.0534,-1.2724587429714436
157,Holdemanella,0.8839285714285712,1.0,0.0
158,Incertae-Sedis,102.76533622633161,0.0007,-3.154901959985743
159,Intestinimonas,11.162146754784175,0.0006,-3.2218487496163566
160,Klebsiella,1.309523860932402,9e-06,-5.045757490560675
161,Lachnoclostridium,5.574046105541127,0.0197,-1.705533773838407
162,Lachnospiraceae,0.8115807992729358,0.5764,-0.2392760278580483
163,Lachnospiraceae-AC2044-group,,1e-06,-6.0
164,Lachnospiraceae-FCS020-group,0.824073811666462,0.4923,-0.30777016422724435
165,Lachnospiraceae-NC2004-group,,1e-06,-6.0
166,Lachnospiraceae-NK4A136-group,4.652077758715979,0.0321,-1.493494967595128
167,Lachnospiraceae-UCG-001,1.4044427135165645,0.0616,-1.2104192878355746
168,Lachnospiraceae-UCG-006,8.086251665355647,0.0005,-3.3010299956639813
169,Lachnospiraceae-UCG-010,1.195337435249643,0.2308,-0.6367641955163061
170,Lachnospiraceae-bacterium-10-1,1.77190444883904,0.0061,-2.214670164989233
171,Lachnospiraceae-bacterium-28-4,14.277408580589977,0.0009,-3.0457574905606752
172,Lachnospiraceae-bacterium-3-2,inf,9e-06,-5.045757490560675
173,Lachnospiraceae-bacterium-595,3.783583170828638,0.0007,-3.154901959985743
174,Lachnospiraceae-bacterium-A4,1.3019717376465196,0.0991,-1.0039263455147247
175,Lachnospiraceae-bacterium-COE1,inf,9e-06,-5.045757490560675
176,Lachnospiraceae-bacterium-DW59,50.244893979139725,0.0003,-3.5228787452803374
177,Lactobacillales,0.5964902345339811,1.0,0.0
178,Lactobacillus,13.963045918610044,0.0008,-3.0969100130080562
179,Lactobacillus-intestinalis,629.0661452783717,9e-06,-5.045757490560675
180,Lactobacillus-mucosae-LM1,0.599910236024444,0.5108,-0.2917491114086223
181,Lactobacillus-murinus,2.160151829574535,0.0007,-3.154901959985743
182,Lactococcus,1.2969217216483726,0.1905,-0.7201050199883618
183,Lactococcus-raffinolactis,inf,9e-06,-5.045757490560675
184,Leuconostoc,1.4143154694405211,0.1405,-0.8523236757589012
185,Lysinibacillus,2.510654255578397,0.0724,-1.1402614338028532
186,Lysobacter,0.8839285714285727,1.0,0.0
187,Malacoplasma-muris,2.4019828432426014,0.062,-1.207608310501746
188,Marvinbryantia,7.53106159201026,0.0078,-2.1079053973095196
189,Megamonas,2.3408262808993587,0.0556,-1.2549252084179425
190,Megasphaera,inf,0.001,-3.0
191,Methyloprofundus,0.5907297109572347,0.9664,-0.014843078722943376
192,Micrococcaceae,0.8839285714285712,1.0,0.0
193,Monoglobus,15.342276171873115,6e-06,-5.221848749616356
194,Morganella,,1e-06,-6.0
195,Mucilaginibacter,1.3095238095238098,0.2868,-0.5424208530042375
196,Mucispirillum,,1e-06,-6.0
197,Mucispirillum-schaedleri,1.0441799930133642,0.4036,-0.39404884243512706
198,Muribaculaceae,18.65340251963429,0.0002,-3.6989700043360187
199,Muribaculum,8.93835316456318,0.0003,-3.5228787452803374
200,Muribaculum-intestinale,inf,0.001,-3.0
201,NK4A214-group,14.435745762335518,5e-05,-4.301029995663981
202,Negativibacillus,11.7879923280753,6e-06,-5.221848749616356
203,Nostoc-PCC-73102,2.1974302143080413,0.0047,-2.3279021420642825
204,Nostocaceae,1.30952380952381,0.2868,-0.5424208530042375
205,Odoribacter,330.2072536278408,9e-06,-5.045757490560675
206,Oscillibacter,4.879928230083185,0.0215,-1.6675615400843946
207,Oscillospiraceae,19.306752943535106,0.0002,-3.6989700043360187
208,Oscillospirales,200.26861003570414,0.0003,-3.5228787452803374
209,Oxalobacter-formigenes,1.1195179898178358,0.4747,-0.32358076828163995
210,Paenarthrobacter,1.280182675429454,0.306,-0.51427857351842
211,Paludicola,5.812914132303259,0.0018,-2.744727494896694
212,Parabacteroides,371.36081829119524,0.00011,-3.958607314841775
213,Parabacteroides-distasonis,2.3671736658509643,0.0654,-1.1844222516757328
214,Parabacteroides-goldsteinii,3.14273641909508,0.0393,-1.4056074496245732
215,Parabacteroides-merdae,33.30790744122121,0.0012,-2.9208187539523753
216,Parabacteroides-sp.,1.2188148931186065,0.2113,-0.6751005029476866
217,Parabacteroides-sp.-CT06,inf,0.001,-3.0
218,Paraprevotella,1.4976581954491677,0.0005,-3.3010299956639813
219,Parasutterella,10.399889737064775,8e-05,-4.096910013008056
220,Parasutterella-excrementihominis,1.753053645502433,0.2724,-0.5647928967592525
221,Parvibacter,1.9327151784517156,0.0054,-2.2676062401770314
222,Pasteurellaceae-bacterium,1.0460020779980284,0.2911,-0.5359577945611892
223,Pedobacter,0.9745687717026515,0.4999,-0.30111686324740977
224,Peptococcaceae,11.044352644090898,0.0013,-2.886056647693163
225,Peptococcus,2.8402224143634465,0.0811,-1.090979145788844
226,Peptoniphilus,1.1092507403381224,0.29,-0.5376020021010439
227,Peptostreptococcaceae,7285.633063825197,9e-06,-5.045757490560675
228,Porphyromonas,inf,0.001,-3.0
229,Prevotella,3.0052123511453184,0.0045,-2.3467874862246565
230,Prevotellaceae,3.7639557356753652,0.0677,-1.1694113313148558
231,Prevotellaceae-UCG-001,4.484163391114459,0.0007,-3.154901959985743
232,Proteus,1.2951175205244878,0.2675,-0.5726762136427527
233,Providencia,1.3134541260225088,0.0008,-3.0969100130080562
234,Providencia-alcalifaciens,inf,9e-06,-5.045757490560675
235,Pseudarthrobacter,inf,0.001,-3.0
236,Pseudomonas,1.3095365863420834,0.0007,-3.154901959985743
237,RF39,1.2313509896176247,0.1767,-0.7527634504932359
238,Rhizobiaceae,1.30952380952381,0.2738,-0.5625665562020288
239,Rhodococcus,0.8839285714285702,1.0,0.0
240,Rhodospirillales,1.7226819411213903,0.1531,-0.8150248093017389
241,Rickettsia,1.311481282121796,0.0006,-3.2218487496163566
242,Rikenella,474.53716881131123,9e-06,-5.045757490560675
243,Rikenella-sp.-Marseille-P3215,0.8839285714285723,1.0,0.0
244,Rikenellaceae,24095.553024420467,9e-06,-5.045757490560675
245,Rikenellaceae-RC9-gut-group,827.3054361665917,9e-06,-5.045757490560675
246,Rikenellaceae-bacterium-DTU002,0.8839285714285721,1.0,0.0
247,Romboutsia,28.66185074405242,0.002,-2.6989700043360187
248,Roseburia,1.6322829961384062,0.1012,-0.9948194874962197
249,Ruminiclostridium,1.3091730424940575,0.2849,-0.5453075507605232
250,Ruminococcaceae,7.878404942859406,0.0002,-3.6989700043360187
251,Ruminococcus,,1e-06,-6.0
252,Ruminococcus-sp.-N15.MGS-57,11.234284652931581,0.0013,-2.886056647693163
253,Shewanella,,1e-06,-6.0
254,Sphingobium,2.8452268668861436,0.0196,-1.7077439286435239
255,Sphingomonas,0.8839285714285712,1.0,0.0
256,Sphingopyxis,,1e-06,-6.0
257,Streptococcus,2.9492395681635455,0.0325,-1.4881166390211256
258,Streptococcus-danieliae,0.8839285714285695,1.0,0.0
259,Streptococcus-respiraculi,0.843685614955197,0.8624,-0.06429125215733648
260,Streptomyces-sp.-Q1,,1e-06,-6.0
261,Subdoligranulum,0.9415314658562914,0.4801,-0.31866829403083424
262,Subgroup-2,3.51970699620622,0.001,-3.0
263,Tannerellaceae,23.36589814909149,9e-06,-5.045757490560675
264,Turicibacter,1.4293944306171489,9e-06,-5.045757490560675
265,Turicimonas-muris,inf,0.001,-3.0
266,Tuzzerella,20.937946696735,0.0002,-3.6989700043360187
267,Tyzzerella,59.7842463055562,0.001,-3.0
268,UBA1819,3.115054371331575,0.1038,-0.9838026464875609
269,UCG-003,37.331813162002604,0.001,-3.0
270,UCG-005,0.717689423516709,0.5742,-0.24093681183951277
271,UCG-007,0.8850139559388625,0.5165,-0.28692967414436066
272,UCG-009,445.11802055387705,9e-06,-5.045757490560675
273,UCG-010,9.572914291053811,0.0021,-2.677780705266081
274,Vagococcus,,1e-06,-6.0
275,Vagococcus-fluvialis,1.7927660849222027,0.0007,-3.154901959985743
276,Veillonella,1.0614849151673078,0.5101,-0.29234467646881307
277,Verrucomicrobiaceae-bacterium-CHC8,1.0292758530696762,0.2857,-0.544089759617257
278,Vibrio,inf,0.0013,-2.886056647693163
279,Victivallis-vadensis,,1e-06,-6.0
280,Wolbachia,inf,0.001,-3.0
281,Xanthobacteraceae,,1e-06,-6.0
282,[Acetivibrio]-ethanolgignens-group,1.8601992344369966,0.0893,-1.0491485411114536
283,[Clostridium]-aldenense,3.0090845737950684,0.001,-3.0
284,[Clostridium]-cocleatum,0.8839285714285721,1.0,0.0
285,[Clostridium]-innocuum-group,2.7200720082208107,0.0053,-2.275724130399211
286,[Clostridium]-leptum,3.0983104075320664,0.0868,-1.0614802748235082
287,[Clostridium]-methylpentosum-group,1483.903870117466,0.001,-3.0
288,[Eubacterium]-brachy-group,5.959083307124145,0.0016,-2.795880017344075
289,[Eubacterium]-coprostanoligenes-group,2.905964228467872,0.0722,-1.1414628024303608
290,[Eubacterium]-fissicatena-group,19.964444141213114,9e-05,-4.045757490560675
291,[Eubacterium]-hallii-group,3.470407786672428,9e-06,-5.045757490560675
292,[Eubacterium]-nodatum-group,11.845212631536333,0.0002,-3.6989700043360187
293,[Eubacterium]-oxidoreducens-group,0.8863203137498883,0.2812,-0.5509846836522136
294,[Eubacterium]-ventriosum-group,42.9196382939793,0.0008,-3.0969100130080562
295,[Eubacterium]-xylanophilum-group,276.5436841724167,9e-06,-5.045757490560675
296,[Ruminococcus]-gnavus-group,0.883928571428571,0.7237,-0.14044142737394646
297,[Ruminococcus]-torques-group,5.669412152135284,0.001,-3.0
298,bacterium-enrichment-culture-clone-M153,inf,0.001,-3.0
299,gut-metagenome,0.4293179081460554,0.8184,-0.08703437929589625
300,human-gut-metagenome,1.3734913315011141,0.1919,-0.7169250252645285
301,marine-metagenome,3.2945543351816893,0.0126,-1.899629454882437
302,metagenome,5672.058908362352,0.001,-3.0
303,mouse-gut-metagenome,3.588957648857825,0.0108,-1.9665762445130504
