,Variable,Statistic,P-value,log10(P-value)
88,Clostridiales-bacterium-CIEAF-021,inf,0.001,-3.0
89,Clostridiales-bacterium-CIEAF-026,0.8738443384377671,0.8703,-0.06033101647767347
90,Clostridium-isatidis,1.3993757653825103,0.0323,-1.490797477668897
91,Clostridium-sensu-stricto-1,3.812590934889598,0.0004,-3.3979400086720375
92,Clostridium-sp.-ASF356,1.3095238095238098,0.0384,-1.4156687756324693
93,Clostridium-sp.-Clone-44,0.8625597861771156,0.5099,-0.2925149880325264
94,Clostridium-sp.-Clone-47,inf,0.001,-3.0
95,Clostridium-sp.-Clone-49,0.8870109097643838,0.2902,-0.5373025918982829
96,Clostridium-sp.-Culture-27,1.5186820030632275,0.0516,-1.2873502983727887
97,Clostridium-sp.-Culture-41,1.223011461399969,0.276,-0.5590909179347823
98,Clostridium-sp.-Culture-54,0.8536250258322281,0.46,-0.3372421683184259
99,Clostridium-sp.-ND2,inf,0.001,-3.0
100,Colidextribacter,6.869444273519781,9e-06,-5.045757490560675
101,Collinsella,1.7018896790096585,0.0063,-2.2006594505464183
102,Coprococcus,inf,0.0013,-2.886056647693163
103,Coriobacteriaceae-UCG-002,7.451246980142421,9e-06,-5.045757490560675
104,Corynebacterium,0.7030092453854089,0.9045,-0.04359142880416746
105,Corynebacterium-propinquum,inf,0.001,-3.0
106,Corynebacterium-tuberculostearicum,1.2237774133754924,0.3014,-0.520856752021387
107,DNF00809,inf,9e-06,-5.045757490560675
108,Defluviitaleaceae-UCG-011,2.7872404488801763,0.0116,-1.9355420107730816
109,Desmonostoc-PCC-7422,1.2777385878956364,0.1406,-0.8520146793161948
110,Desulfovibrio,6.15363819377644,0.0106,-1.9746941347352298
111,Desulfovibrio-fairfieldensis,8.131341581926733,0.0008,-3.0969100130080562
112,Desulfovibrionaceae,144.9045092062666,9e-05,-4.045757490560675
113,Devosia,0.925576341562074,0.2895,-0.538351431936545
114,Dialister,,1e-06,-6.0
115,Dialister-invisus-DSM-15470,0.9279271018841987,0.5184,-0.2853350071374631
116,Dialister-sp.-Marseille-P5638,1.2295404536608636,0.3014,-0.520856752021387
117,Dielma,324.8230169252803,0.0013,-2.886056647693163
118,Dorea-sp.-5-2,1.4029018579657342,0.2073,-0.6834006979061391
119,Dubosiella,7.805735673475813,9e-05,-4.045757490560675
120,Dubosiella-newyorkensis,8.523850865728194,9e-06,-5.045757490560675
121,Dyadobacter-fermentans,inf,9e-06,-5.045757490560675
122,Eggerthella,inf,0.0013,-2.886056647693163
123,Eisenbergiella,44.9138986966917,0.0008,-3.0969100130080562
124,Elizabethkingia,,1e-06,-6.0
125,Endozoicomonas,0.8839285714285713,1.0,0.0
126,Enterobacterales,,1e-06,-6.0
127,Enterobacteriaceae,0.8690031744203975,0.4756,-0.322758154053346
128,Enterococcus,2.971564120751657,0.0584,-1.2335871528876006
129,Enterorhabdus,3.8157977807853842,0.0308,-1.5114492834995557
130,Erysipelatoclostridium,1.4049435139633313,0.236,-0.6270879970298935
131,Erysipelatoclostridium-ramosum,inf,0.001,-3.0
132,Erysipelotrichaceae,78.0358774496353,0.0002,-3.6989700043360187
133,Erysipelotrichaceae-UCG-003,0.7590496854658749,0.7641,-0.11684980031672246
134,Escherichia-Shigella,2.3226417421175136,0.0003,-3.5228787452803374
135,Ethanoligenenaceae,1.178899827846361,0.2801,-0.5526868911764318
136,Eubacterium-plexicaudatum,15.404107955335125,0.0009,-3.0457574905606752
137,Eubacterium-sp.-14-2,1.3194447485449623,0.0519,-1.2848326421515421
138,Faecalibacterium,1.1759390840683397,0.2921,-0.5344684430264502
139,Faecalibaculum,13.149447737139434,9e-06,-5.045757490560675
140,Faecalibaculum-rodentium,2.847946404678754,0.0003,-3.5228787452803374
141,Faecalitalea,0.88776358127278,0.5007,-0.3004224086010908
142,Family-XIII-AD3011-group,32.70337759032364,9e-06,-5.045757490560675
143,Family-XIII-UCG-001,2263.7595576506983,9e-06,-5.045757490560675
144,Firmicutes,1.3095238095238102,0.2738,-0.5625665562020288
145,Flavobacterium,3.0903343537536507,0.0131,-1.8827287043442358
146,Flavonifractor,1.6000290229850704,0.1944,-0.7113037394097442
147,Frisingicoccus,2.3446484846001385,0.0119,-1.9244530386074692
148,Fusicatenibacter,,1e-06,-6.0
149,Fusobacterium,0.9210938774390701,0.2911,-0.5359577945611892
150,GCA-900066575,4.555812591403134,0.0008,-3.0969100130080562
151,Gastranaerophilales,2.265019796456823,0.0002,-3.6989700043360187
152,Harryflintia,2.8968525052988667,0.0286,-1.5436339668709569
153,Helicobacter,2.2043451465784583,0.0498,-1.3027706572402824
154,Helicobacter-ganmani,14.66759882232066,7e-05,-4.154901959985743
155,Helicobacter-hepaticus,16.117907633700426,9e-06,-5.045757490560675
156,Helicobacter-mastomyrinus,2.248273255320976,0.00011,-3.958607314841775
157,Holdemanella,1.027333740775945,0.2918,-0.5349147124425672
158,Incertae-Sedis,3.7020270331846272,9e-06,-5.045757490560675
159,Intestinimonas,8.843116637798627,9e-06,-5.045757490560675
160,Klebsiella,inf,0.001,-3.0
161,Lachnoclostridium,8.548590709503632,0.0018,-2.744727494896694
162,Lachnospiraceae,7.152799361515999,0.0035,-2.4559319556497243
163,Lachnospiraceae-AC2044-group,,1e-06,-6.0
164,Lachnospiraceae-FCS020-group,4.372884419321098,0.0062,-2.207608310501746
165,Lachnospiraceae-NC2004-group,,1e-06,-6.0
166,Lachnospiraceae-NK4A136-group,17.751889044346484,9e-06,-5.045757490560675
167,Lachnospiraceae-UCG-001,1.586763821295572,0.012,-1.9208187539523751
168,Lachnospiraceae-UCG-006,7.947670539630472,0.0004,-3.3979400086720375
169,Lachnospiraceae-UCG-010,4.304952732525681,0.0113,-1.9469215565165803
170,Lachnospiraceae-bacterium-10-1,1.693845719700867,9e-06,-5.045757490560675
171,Lachnospiraceae-bacterium-28-4,18.512085421642254,0.0002,-3.6989700043360187
172,Lachnospiraceae-bacterium-3-2,inf,9e-06,-5.045757490560675
173,Lachnospiraceae-bacterium-595,5.9892483100715985,0.0007,-3.154901959985743
174,Lachnospiraceae-bacterium-A4,0.7924145552783439,0.2796,-0.5534628329263562
175,Lachnospiraceae-bacterium-COE1,244.0613777092764,9e-06,-5.045757490560675
176,Lachnospiraceae-bacterium-DW59,2.9883786502434164,9e-06,-5.045757490560675
177,Lactobacillales,0.8576458576402395,0.6513,-0.1862189218259175
178,Lactobacillus,57.02590507301042,9e-06,-5.045757490560675
179,Lactobacillus-intestinalis,668.1804188364889,6e-06,-5.221848749616356
180,Lactobacillus-mucosae-LM1,3.544395021345045,0.0191,-1.7189666327522726
181,Lactobacillus-murinus,417.37360958347375,0.0008,-3.0969100130080562
182,Lactococcus,6.740321633748609,0.0003,-3.5228787452803374
183,Lactococcus-raffinolactis,inf,0.0013,-2.886056647693163
184,Leuconostoc,1.4782076000477609,0.064,-1.193820026016113
185,Lysinibacillus,1.7080887555500959,0.0465,-1.332547047110046
186,Lysobacter,0.8839285714285727,1.0,0.0
187,Malacoplasma-muris,3.533058805270506,0.0284,-1.5466816599529623
188,Marvinbryantia,7.5556786748945415,0.0043,-2.3665315444204134
189,Megamonas,1.8968778067875482,0.0933,-1.0301183562535001
190,Megasphaera,1.9232780611913345,0.0003,-3.5228787452803374
191,Methyloprofundus,0.8644345184151544,0.7423,-0.1294205394473152
192,Micrococcaceae,1.2651664993868046,0.0709,-1.1493537648169334
193,Monoglobus,9.02077609914927,9e-06,-5.045757490560675
194,Morganella,,1e-06,-6.0
195,Mucilaginibacter,1.3095238095238109,0.2849,-0.5453075507605232
196,Mucispirillum,inf,0.001,-3.0
197,Mucispirillum-schaedleri,3.0513230210515654,0.0066,-2.1804560644581312
198,Muribaculaceae,12.89977157216112,0.0011,-2.958607314841775
199,Muribaculum,28.695302623127226,9e-06,-5.045757490560675
200,Muribaculum-intestinale,inf,9e-06,-5.045757490560675
201,NK4A214-group,2.8342621796718857,0.0019,-2.721246399047171
202,Negativibacillus,15.010152934908284,0.0002,-3.6989700043360187
203,Nostoc-PCC-73102,0.9114565642340402,0.2865,-0.5428753736965912
204,Nostocaceae,inf,0.001,-3.0
205,Odoribacter,8.85947888520772,0.0002,-3.6989700043360187
206,Oscillibacter,3.7383739589002585,0.0252,-1.5985994592184558
207,Oscillospiraceae,7.69484863256217,9e-06,-5.045757490560675
208,Oscillospirales,5.30247905087422,0.0005,-3.3010299956639813
209,Oxalobacter-formigenes,1.1195179898178358,0.4747,-0.32358076828163995
210,Paenarthrobacter,1.1916500227263342,0.2587,-0.5872035712834566
211,Paludicola,5.155518768813609,9e-06,-5.045757490560675
212,Parabacteroides,79.29681363542089,9e-06,-5.045757490560675
213,Parabacteroides-distasonis,2.4075233777512453,0.0675,-1.1706962271689751
214,Parabacteroides-goldsteinii,0.5803824988069504,0.7396,-0.13100309751286454
215,Parabacteroides-merdae,30.16284278955962,0.0011,-2.958607314841775
216,Parabacteroides-sp.,0.9589488251557203,0.2944,-0.5310621943345387
217,Parabacteroides-sp.-CT06,1.644499413322144,0.0005,-3.3010299956639813
218,Paraprevotella,3.497070883691688,9e-06,-5.045757490560675
219,Parasutterella,12.501417871651288,9e-06,-5.045757490560675
220,Parasutterella-excrementihominis,1.0720101706723126,0.3968,-0.401428336517859
221,Parvibacter,1.870155418230242,0.1891,-0.7233084711549603
222,Pasteurellaceae-bacterium,1.442163210902423,0.0536,-1.27083521030723
223,Pedobacter,0.8839285714285714,1.0,0.0
224,Peptococcaceae,10.450486693996297,9e-06,-5.045757490560675
225,Peptococcus,3.3676683140795083,0.0561,-1.2510371387438386
226,Peptoniphilus,0.8839285714285723,1.0,0.0
227,Peptostreptococcaceae,2.1861854821659072,9e-06,-5.045757490560675
228,Porphyromonas,inf,0.001,-3.0
229,Prevotella,0.8839285714285727,1.0,0.0
230,Prevotellaceae,7.007832961189608,0.0028,-2.5528419686577806
231,Prevotellaceae-UCG-001,20.036813674273095,9e-06,-5.045757490560675
232,Proteus,60.7426483494218,9e-06,-5.045757490560675
233,Providencia,inf,0.001,-3.0
234,Providencia-alcalifaciens,inf,0.0013,-2.886056647693163
235,Pseudarthrobacter,,1e-06,-6.0
236,Pseudomonas,inf,0.0013,-2.886056647693163
237,RF39,5.270739678428613,0.0135,-1.869666231504994
238,Rhizobiaceae,inf,0.001,-3.0
239,Rhodococcus,0.8839285714285702,1.0,0.0
240,Rhodospirillales,1.6019589637474225,0.068,-1.1674910872937636
241,Rickettsia,1.3112067873320252,9e-06,-5.045757490560675
242,Rikenella,491.3066681007375,6e-06,-5.221848749616356
243,Rikenella-sp.-Marseille-P3215,54.7737305528483,0.001,-3.0
244,Rikenellaceae,350.80509035409665,9e-06,-5.045757490560675
245,Rikenellaceae-RC9-gut-group,193.50878171539682,9e-06,-5.045757490560675
246,Rikenellaceae-bacterium-DTU002,0.8839285714285721,1.0,0.0
247,Romboutsia,28.66185074405242,0.002,-2.6989700043360187
248,Roseburia,5.1891387162228515,0.0002,-3.6989700043360187
249,Ruminiclostridium,34.593864449772354,0.001,-3.0
250,Ruminococcaceae,9.847522245038887,9e-06,-5.045757490560675
251,Ruminococcus,3.3663186077871616,0.0668,-1.1752235375244544
252,Ruminococcus-sp.-N15.MGS-57,3.9374502437183816,0.0006,-3.2218487496163566
253,Shewanella,1.3095238095238093,0.2868,-0.5424208530042375
254,Sphingobium,2.8733781492434534,0.027,-1.5686362358410126
255,Sphingomonas,0.8839285714285715,1.0,0.0
256,Sphingopyxis,,1e-06,-6.0
257,Streptococcus,0.642087534264413,0.6507,-0.18661919326614435
258,Streptococcus-danieliae,3.658926969126006,0.001,-3.0
259,Streptococcus-respiraculi,,1e-06,-6.0
260,Streptomyces-sp.-Q1,inf,0.001,-3.0
261,Subdoligranulum,0.8152919214891214,0.5483,-0.2609817541165191
262,Subgroup-2,0.8839285714285713,1.0,0.0
263,Tannerellaceae,16.238655205754743,0.0013,-2.886056647693163
264,Turicibacter,555.4543070679284,0.0002,-3.6989700043360187
265,Turicimonas-muris,inf,0.001,-3.0
266,Tuzzerella,4.841732533841369,9e-06,-5.045757490560675
267,Tyzzerella,1.7364180170885073,9e-06,-5.045757490560675
268,UBA1819,6.644230563952637,0.001,-3.0
269,UCG-003,2.0268487534828576,0.0174,-1.7594507517174003
270,UCG-005,1.0643888117821059,0.3656,-0.4369938129382062
271,UCG-007,1.3095238095238086,0.0616,-1.2104192878355746
272,UCG-009,4.768454241364861,9e-06,-5.045757490560675
273,UCG-010,5.750835930234842,0.0148,-1.8297382846050425
274,Vagococcus,,1e-06,-6.0
275,Vagococcus-fluvialis,,1e-06,-6.0
276,Veillonella,39.55836400000757,0.0005,-3.3010299956639813
277,Verrucomicrobiaceae-bacterium-CHC8,1.0292758530696762,0.2857,-0.544089759617257
278,Vibrio,inf,0.001,-3.0
279,Victivallis-vadensis,inf,0.001,-3.0
280,Wolbachia,inf,0.001,-3.0
281,Xanthobacteraceae,inf,0.001,-3.0
282,[Acetivibrio]-ethanolgignens-group,1.8762544007488349,0.0707,-1.1505805862031007
283,[Clostridium]-aldenense,,1e-06,-6.0
284,[Clostridium]-cocleatum,0.8839285714285721,1.0,0.0
285,[Clostridium]-innocuum-group,,1e-06,-6.0
286,[Clostridium]-leptum,9.889609738007447,0.0022,-2.657577319177794
287,[Clostridium]-methylpentosum-group,2.914791476001041,0.0004,-3.3979400086720375
288,[Eubacterium]-brachy-group,1.384507142738332,0.2793,-0.5539290642989949
289,[Eubacterium]-coprostanoligenes-group,3.7428850415562955,0.0225,-1.6478174818886375
290,[Eubacterium]-fissicatena-group,28.045531033697262,9e-06,-5.045757490560675
291,[Eubacterium]-hallii-group,3.470408017441313,9e-06,-5.045757490560675
292,[Eubacterium]-nodatum-group,11.148164793054317,0.0002,-3.6989700043360187
293,[Eubacterium]-oxidoreducens-group,3.6197849505335515,9e-06,-5.045757490560675
294,[Eubacterium]-ventriosum-group,44.54636030235607,0.0008,-3.0969100130080562
295,[Eubacterium]-xylanophilum-group,9.199249738096354,9e-06,-5.045757490560675
296,[Ruminococcus]-gnavus-group,0.883928571428571,0.7237,-0.14044142737394646
297,[Ruminococcus]-torques-group,inf,0.001,-3.0
298,bacterium-enrichment-culture-clone-M153,inf,0.001,-3.0
299,gut-metagenome,1.784310095200728,0.0804,-1.0947439512515487
300,human-gut-metagenome,1.4893733159104936,0.0801,-1.0963674839157622
301,marine-metagenome,2.9245625643829323,5e-05,-4.301029995663981
302,metagenome,183.9602424325005,0.0004,-3.3979400086720375
303,mouse-gut-metagenome,6.30593307712943,0.0017,-2.769551078621726
