,Variable,Statistic,P-value,log10(P-value)
132,Erysipelotrichaceae,62.4161901360279,0.0004,-3.3979400086720375
133,Erysipelotrichaceae-UCG-003,0.44951706386065293,0.9167,-0.03777276864991503
134,Escherichia-Shigella,1.1995008187634968,0.0266,-1.575118363368933
135,Ethanoligenenaceae,,1e-06,-6.0
136,Eubacterium-plexicaudatum,inf,0.0022,-2.657577319177794
137,Eubacterium-sp.-14-2,1.028358363184025,0.4522,-0.3446694419906591
138,Faecalibacterium,0.9416536228310766,0.4444,-0.35222594973117
139,Faecalibaculum,11.238622215861927,8e-05,-4.096910013008056
140,Faecalibaculum-rodentium,2.5055724286711314,0.0009,-3.0457574905606752
141,Faecalitalea,0.7737680244232473,0.8712,-0.05988213325228147
142,Family-XIII-AD3011-group,15.768492889228211,0.0002,-3.6989700043360187
143,Family-XIII-UCG-001,inf,3e-05,-4.522878745280337
144,Firmicutes,1.153846153846155,0.3609,-0.4426131179404928
145,Flavobacterium,2.4792866729267127,0.0005,-3.3010299956639813
146,Flavonifractor,3.8661542564058067,0.0034,-2.468521082957745
147,Frisingicoccus,,1e-06,-6.0
148,Fusicatenibacter,,1e-06,-6.0
149,Fusobacterium,0.7867171146596191,0.6239,-0.20488501436963671
150,GCA-900066575,5.61197088593381,0.0013,-2.886056647693163
151,Gastranaerophilales,2.0789560059049546,0.001,-3.0
152,Harryflintia,2.37107762854138,0.1112,-0.9538952127539614
153,Helicobacter,2.1615202039624846,0.1264,-0.8982529260536337
154,Helicobacter-ganmani,13.45715126561536,0.0007,-3.154901959985743
155,Helicobacter-hepaticus,14.482988263552274,0.0009,-3.0457574905606752
156,Helicobacter-mastomyrinus,1.430162005841373,0.2059,-0.6863436533819687
157,Holdemanella,,1e-06,-6.0
158,Incertae-Sedis,3.2629998199311254,3e-05,-4.522878745280337
159,Intestinimonas,6.239111797728419,0.00015,-3.8239087409443187
160,Klebsiella,1.153846153846153,0.6171,-0.20964445358561357
161,Lachnoclostridium,7.532646964027058,0.0039,-2.408935392973501
162,Lachnospiraceae,6.3801955173733145,0.0022,-2.657577319177794
163,Lachnospiraceae-AC2044-group,,1e-06,-6.0
164,Lachnospiraceae-FCS020-group,3.994515042485379,0.0159,-1.7986028756795485
165,Lachnospiraceae-NC2004-group,,1e-06,-6.0
166,Lachnospiraceae-NK4A136-group,8.620615751806987,0.00013,-3.886056647693163
167,Lachnospiraceae-UCG-001,1.5306637112901056,0.124,-0.906578314837765
168,Lachnospiraceae-UCG-006,8.023289584293,0.0002,-3.6989700043360187
169,Lachnospiraceae-UCG-010,0.8865124854403023,0.6269,-0.2028017301610411
170,Lachnospiraceae-bacterium-10-1,1.5005057893726224,0.0002,-3.6989700043360187
171,Lachnospiraceae-bacterium-28-4,472.94480215838786,3e-05,-4.522878745280337
172,Lachnospiraceae-bacterium-3-2,inf,3e-05,-4.522878745280337
173,Lachnospiraceae-bacterium-595,0.5377115756589889,0.6804,-0.1672356950594686
174,Lachnospiraceae-bacterium-A4,1.3401943542192336,0.2811,-0.5511391543925592
175,Lachnospiraceae-bacterium-COE1,210.8185431821449,3e-05,-4.522878745280337
176,Lachnospiraceae-bacterium-DW59,4.3564947758767545,0.0004,-3.3979400086720375
177,Lactobacillales,0.9673441333136891,0.6219,-0.2062794431864767
178,Lactobacillus,10.324444860652843,3e-05,-4.522878745280337
179,Lactobacillus-intestinalis,8979.12262395547,3e-05,-4.522878745280337
180,Lactobacillus-mucosae-LM1,3.083935329517906,0.0012,-2.9208187539523753
181,Lactobacillus-murinus,1.0571689725188156,0.6143,-0.2116194846804367
182,Lactococcus,1.173653628006345,0.1759,-0.7547341605425387
183,Lactococcus-raffinolactis,inf,0.003,-2.5228787452803374
184,Leuconostoc,1.272054488244843,0.003,-2.5228787452803374
185,Lysinibacillus,2.8041197470536376,0.0587,-1.2313618987523856
186,Lysobacter,,1e-06,-6.0
187,Malacoplasma-muris,2.372698572886617,0.0991,-1.0039263455147247
188,Marvinbryantia,11.809008887965518,0.0048,-2.318758762624413
189,Megamonas,0.6747935430155251,0.6601,-0.18039026724841478
190,Megasphaera,1.4956790458217084,0.0007,-3.154901959985743
191,Methyloprofundus,0.4172046378598793,0.9779,-0.009705553871561268
192,Micrococcaceae,1.1313119653674695,0.2003,-0.6983190507064237
193,Monoglobus,6.479310383352453,0.0006,-3.2218487496163566
194,Morganella,,1e-06,-6.0
195,Mucilaginibacter,1.1538461538461542,0.3556,-0.4490382477018239
196,Mucispirillum,inf,0.0022,-2.657577319177794
197,Mucispirillum-schaedleri,2.576057003294461,0.0389,-1.4100503986742923
198,Muribaculaceae,0.6253312763677054,0.5812,-0.23567439437401605
199,Muribaculum,26.24783285350017,1.2e-05,-4.920818753952375
200,Muribaculum-intestinale,19788.8829186843,3e-05,-4.522878745280337
201,NK4A214-group,2.4649402340000357,0.0051,-2.2924298239020637
202,Negativibacillus,26.818842500950787,0.0003,-3.5228787452803374
203,Nostoc-PCC-73102,1.6055462566207317,0.1576,-0.8024437868464636
204,Nostocaceae,1.9494214239494907,0.0012,-2.9208187539523753
205,Odoribacter,5.833851713587161,5e-05,-4.301029995663981
206,Oscillibacter,3.0884504299668465,0.083,-1.080921907623926
207,Oscillospiraceae,6.74427860498236,7e-05,-4.154901959985743
208,Oscillospirales,64.05814634859948,0.001,-3.0
209,Oxalobacter-formigenes,,1e-06,-6.0
210,Paenarthrobacter,0.45657609600386,0.9656,-0.015202742910707194
211,Paludicola,4.922951410936291,0.0003,-3.5228787452803374
212,Parabacteroides,134.20806372384408,3e-05,-4.522878745280337
213,Parabacteroides-distasonis,1.8832647483660305,0.1205,-0.9190129530891128
214,Parabacteroides-goldsteinii,47.140290602264734,3e-05,-4.522878745280337
215,Parabacteroides-merdae,23.88521477196717,0.0017,-2.769551078621726
216,Parabacteroides-sp.,0.8404607535026385,0.6233,-0.2053028731080014
217,Parabacteroides-sp.-CT06,1.4880073130913023,0.0007,-3.154901959985743
218,Paraprevotella,3.873973390943849,3e-05,-4.522878745280337
219,Parasutterella,11.440611472235837,0.0008,-3.0969100130080562
220,Parasutterella-excrementihominis,0.8334409630890482,0.5169,-0.28659346783230905
221,Parvibacter,0.8847964897974756,0.3698,-0.43203309317684574
222,Pasteurellaceae-bacterium,1.1623188154197528,0.2149,-0.6677635845085567
223,Pedobacter,1.1538461538461542,0.6071,-0.2167397671270511
224,Peptococcaceae,19.727470800785078,0.002,-2.6989700043360187
225,Peptococcus,1.3303726534980242,0.2679,-0.5720272863917911
226,Peptoniphilus,1.0042461170409842,0.6214,-0.2066287510810444
227,Peptostreptococcaceae,1.458222414965149,0.0658,-1.1817741063860445
228,Porphyromonas,inf,0.0007,-3.154901959985743
229,Prevotella,inf,0.003,-2.5228787452803374
230,Prevotellaceae,14.070812600666036,0.0004,-3.3979400086720375
231,Prevotellaceae-UCG-001,4.933700996175278,0.0003,-3.5228787452803374
232,Proteus,1.1219313379971039,0.6142,-0.21169018789294994
233,Providencia,1.2626075643218755,3e-05,-4.522878745280337
234,Providencia-alcalifaciens,inf,0.003,-2.5228787452803374
235,Pseudarthrobacter,inf,0.003,-2.5228787452803374
236,Pseudomonas,1.153846153846153,0.6171,-0.20964445358561357
237,RF39,0.9655965504866221,0.5964,-0.22446236521904303
238,Rhizobiaceae,1.1595397070929747,0.0012,-2.9208187539523753
239,Rhodococcus,0.7692307692307697,1.0,0.0
240,Rhodospirillales,1.4120393771229354,0.1319,-0.8797552044536348
241,Rickettsia,1.1913748806100872,0.001,-3.0
242,Rikenella,400.6713078770118,3e-05,-4.522878745280337
243,Rikenella-sp.-Marseille-P3215,46.42299019525949,0.0022,-2.657577319177794
244,Rikenellaceae,208.0640413619829,0.001,-3.0
245,Rikenellaceae-RC9-gut-group,133.7566134401823,3e-05,-4.522878745280337
246,Rikenellaceae-bacterium-DTU002,,1e-06,-6.0
247,Romboutsia,,1e-06,-6.0
248,Roseburia,4.054085956799606,0.0106,-1.9746941347352298
249,Ruminiclostridium,27.186559324514295,0.001,-3.0
250,Ruminococcaceae,6.840995028061733,0.0002,-3.6989700043360187
251,Ruminococcus,2.966126885183095,0.1278,-0.8934691461776186
252,Ruminococcus-sp.-N15.MGS-57,3.46807238694513,0.0007,-3.154901959985743
253,Shewanella,1.1538461538461537,0.6133,-0.21232703531250705
254,Sphingobium,1.0286688599625216,0.4256,-0.3709983807130083
255,Sphingomonas,0.7692307692307688,1.0,0.0
256,Sphingopyxis,,1e-06,-6.0
257,Streptococcus,0.8784177613493793,0.4596,-0.3376199799837524
258,Streptococcus-danieliae,3.663607915418862,0.0022,-2.657577319177794
259,Streptococcus-respiraculi,0.7401815827694533,0.9103,-0.04081545726880852
260,Streptomyces-sp.-Q1,inf,0.0022,-2.657577319177794
261,Subdoligranulum,0.2003143824835212,0.9234,-0.03461012978487766
262,Subgroup-2,2.7692738393447853,0.003,-2.5228787452803374
263,Tannerellaceae,12.20069429882009,0.0007,-3.154901959985743
264,Turicibacter,1.166705661565638,0.0041,-2.3872161432802645
265,Turicimonas-muris,inf,0.0007,-3.154901959985743
266,Tuzzerella,3.866782111374371,0.0276,-1.5590909179347823
267,Tyzzerella,1.5143491354991216,3e-05,-4.522878745280337
268,UBA1819,4.828348749782428,0.0059,-2.2291479883578558
269,UCG-003,1.3117678599268334,0.2181,-0.6613443344212997
270,UCG-005,0.8864212628047597,0.3722,-0.4292236312052518
271,UCG-007,1.2578538574155869,0.1854,-0.7318902701915218
272,UCG-009,4.212713698924002,3e-05,-4.522878745280337
273,UCG-010,5.812670746645619,0.0206,-1.6861327796308465
274,Vagococcus,,1e-06,-6.0
275,Vagococcus-fluvialis,1.1538461538461557,0.6142,-0.21169018789294994
276,Veillonella,27.868245836259018,0.0022,-2.657577319177794
277,Verrucomicrobiaceae-bacterium-CHC8,0.8614022197207113,0.6111,-0.21388771628017347
278,Vibrio,inf,0.0022,-2.657577319177794
279,Victivallis-vadensis,inf,0.0022,-2.657577319177794
280,Wolbachia,inf,0.0007,-3.154901959985743
281,Xanthobacteraceae,inf,0.0022,-2.657577319177794
282,[Acetivibrio]-ethanolgignens-group,inf,0.0022,-2.657577319177794
283,[Clostridium]-aldenense,2.740359581945622,0.003,-2.5228787452803374
284,[Clostridium]-cocleatum,,1e-06,-6.0
285,[Clostridium]-innocuum-group,2.049529627025072,0.0243,-1.6143937264016879
286,[Clostridium]-leptum,3.08639887226078,0.0642,-1.1924649719311469
287,[Clostridium]-methylpentosum-group,2.2065747396506774,0.0007,-3.154901959985743
288,[Eubacterium]-brachy-group,4.9727976069997935,0.0023,-2.638272163982407
289,[Eubacterium]-coprostanoligenes-group,3.733844939557725,0.0304,-1.5171264163912463
290,[Eubacterium]-fissicatena-group,18.626518863782692,0.0028,-2.5528419686577806
291,[Eubacterium]-hallii-group,1.1538461538461537,0.6178,-0.20915209603456816
292,[Eubacterium]-nodatum-group,7.652721804753486,3e-05,-4.522878745280337
293,[Eubacterium]-oxidoreducens-group,3.2677055645636996,0.0013,-2.886056647693163
294,[Eubacterium]-ventriosum-group,8.419292924320796,0.0007,-3.154901959985743
295,[Eubacterium]-xylanophilum-group,5.161653695026939,0.0002,-3.6989700043360187
296,[Ruminococcus]-gnavus-group,,1e-06,-6.0
297,[Ruminococcus]-torques-group,4.993378891391547,0.003,-2.5228787452803374
298,bacterium-enrichment-culture-clone-M153,inf,0.0007,-3.154901959985743
299,gut-metagenome,1.5299925734422433,0.1475,-0.8312079796858183
300,human-gut-metagenome,1.195771119868784,0.1888,-0.7239980100379498
301,marine-metagenome,inf,0.0022,-2.657577319177794
302,metagenome,9.85311671857462,0.0004,-3.3979400086720375
303,mouse-gut-metagenome,4.966759875840641,0.0122,-1.9136401693252518
