Diet,Bacteria,Pvalue,Pvalue_corrected
Inulin,Dubosiella,0.001574,0.019970125000000002
Inulin,Dubosiella-newyorkensis,0.05492,0.18276655737704917
Inulin,Eisenbergiella,0.836682,0.97100584
Inulin,Elizabethkingia,1.0,1.0
Inulin,Enterobacteriaceae,0.543712,0.721395660130719
Inulin,Enterococcus,0.122421,0.30680818518518516
Inulin,Enterorhabdus,0.018251,0.09972505128205128
Inulin,Erysipelatoclostridium,0.272856,0.4990069189189189
Inulin,Erysipelatoclostridium-ramosum,1.0,1.0
Inulin,Erysipelotrichaceae,0.148733,0.3496406666666667
Inulin,Erysipelotrichaceae-UCG-003,0.337234,0.5748790833333333
Inulin,Escherichia-Shigella,0.003234,0.032825099999999996
Inulin,Ethanoligenenaceae,0.209488,0.41238669230769226
Inulin,Eubacterium-plexicaudatum,0.010186,0.0646174375
Inulin,Eubacterium-sp.-14-2,0.729662,0.8922975060240964
Inulin,Faecalibacterium,0.078318,0.2186886081081081
Inulin,Faecalibaculum,0.835763,0.97100584
Inulin,Faecalibaculum-rodentium,0.33983,0.5748790833333333
Inulin,Family-XIII-AD3011-group,0.004517,0.04168526923076923
Inulin,Flavobacterium,0.444486,0.6241494
Inulin,Flavonifractor,0.049975,0.1749125
Inulin,Frisingicoccus,0.019159,0.09972505128205128
Inulin,GCA-900066575,0.096875,0.2553977272727273
Inulin,Gastranaerophilales,0.024275,0.11011171111111111
Inulin,Harryflintia,0.048524,0.17281354385964912
Inulin,Helicobacter,0.04191,0.15192375000000002
Inulin,Helicobacter-ganmani,0.037611,0.14970652941176468
Inulin,Helicobacter-hepaticus,0.074663,0.2186886081081081
Inulin,Helicobacter-mastomyrinus,0.066038,0.20624175384615384
Inulin,Incertae-Sedis,0.859115,0.9909110511363636
Inulin,Intestinimonas,0.152806,0.3524956590909091
Inulin,Klebsiella,1.0,1.0
Inulin,Lachnoclostridium,0.211272,0.41238669230769226
Inulin,Lachnospiraceae,0.930905,1.0
Inulin,Lachnospiraceae-FCS020-group,0.024409,0.11011171111111111
Inulin,Lachnospiraceae-NK4A136-group,0.701755,0.8633713030303031
Inulin,Lachnospiraceae-UCG-001,1.0,1.0
Inulin,Lachnospiraceae-UCG-006,0.149846,0.3496406666666667
Inulin,Lachnospiraceae-UCG-010,1.0,1.0
Inulin,Lachnospiraceae-bacterium-10-1,0.669806,0.844538
Inulin,Lachnospiraceae-bacterium-28-4,0.041368,0.15192375000000002
Inulin,Lachnospiraceae-bacterium-595,0.002204,0.02614188888888889
Inulin,Lachnospiraceae-bacterium-A4,0.8363,0.97100584
Inulin,Lachnospiraceae-bacterium-DW59,0.005167,0.04168526923076923
Inulin,Lactobacillus,0.000716,0.013213454545454544
Inulin,Lactobacillus-intestinalis,0.157902,0.3561567333333333
Inulin,Lactobacillus-mucosae-LM1,0.575799,0.7541109483870968
Inulin,Lactobacillus-murinus,0.138185,0.3363903333333333
Inulin,Lactococcus,0.303228,0.530649
Inulin,Leuconostoc,1.0,1.0
Inulin,Lysinibacillus,1.0,1.0
Inulin,Malacoplasma-muris,0.278497,0.5020746902654868
Inulin,Marvinbryantia,0.037094,0.14970652941176468
Inulin,Megasphaera,0.444641,0.6241494
Inulin,Methyloprofundus,0.477084,0.6499869261744967
Inulin,Micrococcaceae,0.228162,0.42886005555555556
Inulin,Monoglobus,0.946894,1.0
Inulin,Mucilaginibacter,0.445125,0.6241494
Inulin,Mucispirillum-schaedleri,0.418962,0.6241494
Inulin,Muribaculaceae,0.000416,0.010556
Inulin,Muribaculum,3.1e-05,0.0012992
Inulin,NK4A214-group,0.013106,0.0760148
Inulin,Negativibacillus,0.107625,0.2765553797468354
Inulin,Odoribacter,0.002741,0.02928542105263158
Inulin,Oscillibacter,0.610754,0.7847029240506329
Inulin,Oscillospiraceae,0.46662,0.6475096486486487
Inulin,Oscillospirales,0.016941,0.09552841666666667
Inulin,Paenarthrobacter,1.0,1.0
Inulin,Paludicola,0.040646,0.15192375000000002
Inulin,Parabacteroides,0.36542,0.6080349180327869
Inulin,Parabacteroides-distasonis,0.009838,0.0646174375
Inulin,Parabacteroides-goldsteinii,0.020231,0.102672325
Inulin,Parabacteroides-merdae,0.094594,0.25266555263157897
Inulin,Parabacteroides-sp.,0.034401,0.1485830425531915
Inulin,Paraprevotella,0.444142,0.6241494
Inulin,Parasutterella,0.001244,0.018838399999999998
Inulin,Parasutterella-excrementihominis,0.660486,0.8379916125
Inulin,Parvibacter,0.052237,0.17830166666666664
Inulin,Pasteurellaceae-bacterium,0.510629,0.6910512466666667
Inulin,Peptococcaceae,0.022161,0.10694323255813953
Inulin,Peptococcus,0.148658,0.3496406666666667
Inulin,Peptostreptococcaceae,0.444782,0.6241494
Inulin,Prevotellaceae,0.035455,0.14970652941176468
Inulin,Prevotellaceae-UCG-001,0.038674,0.15097734615384614
Inulin,Proteus,0.445469,0.6241494
Inulin,Pseudomonas,0.444572,0.6241494
Inulin,RF39,0.327546,0.5683063076923077
Inulin,Rhodococcus,1.0,1.0
Inulin,Rhodospirillales,0.236893,0.44118604587155963
Inulin,Rikenella,0.04175,0.15192375000000002
Inulin,Rikenella-sp.-Marseille-P3215,0.837074,0.97100584
Inulin,Rikenellaceae,0.394804,0.6241494
Inulin,Rikenellaceae-RC9-gut-group,0.000173,0.005017
Inulin,Romboutsia,1.0,1.0
Inulin,Roseburia,0.300792,0.530649
Inulin,Ruminococcaceae,0.579914,0.7546316794871796
Inulin,Ruminococcus-sp.-N15.MGS-57,3.2e-05,0.0012992
Inulin,Sphingobium,0.802881,0.9587343705882353
Inulin,Streptococcus,0.764717,0.9205317278106508
Inulin,Streptococcus-danieliae,1.0,1.0
Inulin,Subdoligranulum,0.078414,0.2186886081081081
Inulin,Tannerellaceae,0.002318,0.02614188888888889
Inulin,Turicibacter,0.337345,0.5748790833333333
Inulin,Tuzzerella,0.472076,0.6475096486486487
Inulin,UBA1819,0.172617,0.36501303125
Inulin,UCG-003,0.078261,0.2186886081081081
Inulin,UCG-005,0.216311,0.4182012666666666
Inulin,UCG-007,0.444437,0.6241494
Inulin,UCG-009,0.006878,0.04986550000000001
Inulin,UCG-010,0.675463,0.8464135123456791
Inulin,Veillonella,0.078304,0.2186886081081081
Inulin,[Acetivibrio]-ethanolgignens-group,0.08226,0.2226504
Inulin,[Clostridium]-leptum,0.469007,0.6475096486486487
Inulin,[Clostridium]-methylpentosum-group,1.0,1.0
Inulin,[Eubacterium]-brachy-group,0.005547,0.04170522222222222
Inulin,[Eubacterium]-coprostanoligenes-group,0.031592,0.1394168695652174
Inulin,[Eubacterium]-fissicatena-group,0.221555,0.4242987264150943
Inulin,[Eubacterium]-hallii-group,0.444821,0.6241494
Inulin,[Eubacterium]-nodatum-group,0.537951,0.7184477171052631
Inulin,[Eubacterium]-oxidoreducens-group,1.0,1.0
Inulin,[Eubacterium]-ventriosum-group,0.0527,0.17830166666666664
Inulin,[Eubacterium]-xylanophilum-group,0.001206,0.018838399999999998
Inulin,[Ruminococcus]-torques-group,0.009954,0.0646174375
Inulin,gut-metagenome,0.005339,0.04168526923076923
Inulin,human-gut-metagenome,0.445106,0.6241494
Inulin,marine-metagenome,0.209145,0.41238669230769226
Inulin,mouse-gut-metagenome,0.519831,0.6988456490066226
Resistant starch,A2,0.092671,0.18630732291666668
Resistant starch,ASF356,0.142684,0.2699805098039216
Resistant starch,Acetatifactor,0.109678,0.21381670707070705
Resistant starch,Acetatifactor-muris,1.0,1.0
Resistant starch,Acutalibacter-muris,0.767469,0.9949525637583894
Resistant starch,Adlercreutzia-mucosicola,1.0,1.0
Resistant starch,Akkermansia,1.0,1.0
Resistant starch,Akkermansia-muciniphila,0.19981,0.3458609067796611
Resistant starch,Alistipes,0.000932,0.004861513513513513
Resistant starch,Alistipes-inops,0.000261,0.001690212121212121
Resistant starch,Alistipes-obesi,0.03493,0.08384301234567901
Resistant starch,Alistipes-shahii,0.002085,0.009814756097560976
Resistant starch,Alistipes-sp.-N15.MGS-157,0.035188,0.08384301234567901
Resistant starch,Alistipes-sp.-cv1,0.015448,0.04517369696969697
Resistant starch,Alloprevotella,0.006693,0.021176213114754098
Resistant starch,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1.0,1.0
Resistant starch,Anaerofilum,1.0,1.0
Resistant starch,Anaerofustis,1.0,1.0
Resistant starch,Anaeroplasma,0.211459,0.3458609067796611
Resistant starch,Anaerotruncus,0.331854,0.5083160476190476
Resistant starch,Anaerovorax,0.142114,0.2699805098039216
Resistant starch,Arcobacteraceae,0.15132,0.280815
Resistant starch,Bacillus,1.0,1.0
Resistant starch,Bacteria,0.853876,1.0
Resistant starch,Bacteroidales,0.104622,0.2060412857142857
Resistant starch,Bacteroides,5.5e-05,0.0007582142857142858
Resistant starch,Bacteroides-acidifaciens,1e-06,6.433333333333333e-05
Resistant starch,Bacteroides-caecimuris,8e-06,0.00019299999999999997
Resistant starch,Bacteroides-nordii,0.034945,0.08384301234567901
Resistant starch,Bacteroides-sartorii,0.000259,0.001690212121212121
Resistant starch,Bacteroides-stercorirosoris,0.000242,0.001690212121212121
Resistant starch,Bacteroides-uniformis,0.004496,0.015324877192982455
Resistant starch,Bacteroides-vulgatus-ATCC-8482,8.7e-05,0.0008837368421052631
Resistant starch,Bacteroides-xylanisolvens,0.001317,0.006517461538461539
Resistant starch,Bifidobacterium,0.955617,1.0
Resistant starch,Bifidobacterium-choerinum,0.000249,0.001690212121212121
Resistant starch,Bilophila,5.1e-05,0.0007571538461538461
Resistant starch,Blautia,0.303295,0.47590191056910564
Resistant starch,Brevinema,0.466188,0.6764983759398496
Resistant starch,Burkholderiales,1.0,1.0
Resistant starch,Burkholderiales-bacterium-YL45,0.000312,0.0017710588235294118
Resistant starch,Butyricicoccus,0.342866,0.5196132968749999
Resistant starch,Butyricimonas,0.000271,0.001690212121212121
Resistant starch,Butyricimonas-synergistica,0.035184,0.08384301234567901
Resistant starch,Butyricimonas-virosa,0.068531,0.15202854022988505
Resistant starch,Candidatus-Gastranaerophilales-bacterium-Zag_111,0.000273,0.001690212121212121
Resistant starch,Candidatus-Saccharimonas,0.005368,0.017559728813559324
Resistant starch,Catenibacterium,1.0,1.0
Resistant starch,Cetobacterium,1.0,1.0
Resistant starch,Christensenella-minuta,0.209518,0.3458609067796611
Resistant starch,Christensenella-sp.-Marseille-P2437,0.004023,0.014755727272727273
Resistant starch,Christensenellaceae,0.728263,0.9693431655172413
Resistant starch,Christensenellaceae-R-7-group,0.008072,0.025127354838709676
Resistant starch,Clostridia,0.344614,0.5196132968749999
Resistant starch,Clostridia-UCG-014,0.070763,0.15345234831460677
Resistant starch,Clostridia-vadinBB60-group,0.010487,0.03212684126984127
Resistant starch,Clostridiales-bacterium-CIEAF-012,0.065029,0.14765408235294117
Resistant starch,Clostridiales-bacterium-CIEAF-020,0.030985,0.08305701388888889
Resistant starch,Clostridium-sensu-stricto-1,0.066031,0.14818584883720934
Resistant starch,Clostridium-sp.-Clone-44,0.210851,0.3458609067796611
Resistant starch,Clostridium-sp.-Culture-27,0.051418,0.11813897619047618
Resistant starch,Clostridium-sp.-Culture-41,0.351079,0.5246170538461539
Resistant starch,Clostridium-sp.-Culture-54,0.353369,0.5246170538461539
Resistant starch,Clostridium-sp.-ND2,1.0,1.0
Resistant starch,Colidextribacter,0.500649,0.7157426444444445
Resistant starch,Coriobacteriaceae-UCG-002,0.035111,0.08384301234567901
Resistant starch,Defluviitaleaceae-UCG-011,0.004205,0.014755727272727273
Resistant starch,Desulfovibrio,2e-06,9.649999999999999e-05
Resistant starch,Desulfovibrio-fairfieldensis,0.002196,0.00985646511627907
Resistant starch,Desulfovibrionaceae,1e-06,6.433333333333333e-05
Resistant starch,Dielma,1.0,1.0
Resistant starch,Dorea-sp.-5-2,0.612478,0.8324524929577465
Resistant starch,Dubosiella,0.004182,0.014755727272727273
Resistant starch,Dubosiella-newyorkensis,7e-06,0.00019299999999999997
Resistant starch,Eggerthella,0.210311,0.3458609067796611
Resistant starch,Endozoicomonas,1.0,1.0
Resistant starch,Enterobacteriaceae,0.285618,0.4518383114754098
Resistant starch,Enterococcus,0.497696,0.7157426444444445
Resistant starch,Enterorhabdus,0.016488,0.04749528358208955
Resistant starch,Erysipelatoclostridium,0.002576,0.011048177777777779
Resistant starch,Erysipelotrichaceae,0.163086,0.2941644672897197
Resistant starch,Escherichia-Shigella,0.00323,0.012987291666666666
Resistant starch,Ethanoligenenaceae,0.004182,0.014755727272727273
Resistant starch,Eubacterium-plexicaudatum,0.034815,0.08384301234567901
Resistant starch,Eubacterium-sp.-14-2,0.209535,0.3458609067796611
Resistant starch,Faecalibacterium,1.0,1.0
Resistant starch,Faecalibaculum,8.6e-05,0.0008837368421052631
Resistant starch,Faecalibaculum-rodentium,1.0,1.0
Resistant starch,Family-XIII-AD3011-group,0.04129,0.09718256097560976
Resistant starch,Flavobacterium,1.0,1.0
Resistant starch,Flavonifractor,0.00414,0.014755727272727273
Resistant starch,Frisingicoccus,0.034751,0.08384301234567901
Resistant starch,GCA-900066575,0.54761,0.7658603623188407
Resistant starch,Gastranaerophilales,0.001386,0.006687450000000001
Resistant starch,Harryflintia,0.116326,0.22450918000000003
Resistant starch,Helicobacter,0.000237,0.001690212121212121
Resistant starch,Helicobacter-ganmani,3e-06,0.00011580000000000001
Resistant starch,Helicobacter-hepaticus,0.000253,0.001690212121212121
Resistant starch,Helicobacter-mastomyrinus,0.074143,0.1555391195652174
Resistant starch,Incertae-Sedis,0.192902,0.33845532727272726
Resistant starch,Intestinimonas,0.559464,0.7712610857142856
Resistant starch,Lachnoclostridium,0.409023,0.5980412045454546
Resistant starch,Lachnospiraceae,0.774626,0.9966854533333334
Resistant starch,Lachnospiraceae-AC2044-group,1.0,1.0
Resistant starch,Lachnospiraceae-FCS020-group,0.591867,0.8101441914893617
Resistant starch,Lachnospiraceae-NK4A136-group,0.240891,0.3906887647058824
Resistant starch,Lachnospiraceae-UCG-001,1.0,1.0
Resistant starch,Lachnospiraceae-UCG-006,0.669833,0.9040403426573427
Resistant starch,Lachnospiraceae-bacterium-10-1,0.185732,0.3289481376146789
Resistant starch,Lachnospiraceae-bacterium-28-4,0.089521,0.18186897894736845
Resistant starch,Lachnospiraceae-bacterium-3-2,1.0,1.0
Resistant starch,Lachnospiraceae-bacterium-595,6.9e-05,0.0008837368421052631
Resistant starch,Lachnospiraceae-bacterium-A4,1.0,1.0
Resistant starch,Lachnospiraceae-bacterium-DW59,0.043849,0.10196213253012049
Resistant starch,Lactobacillus,0.011644,0.03457372307692308
Resistant starch,Lactobacillus-intestinalis,0.018952,0.05301066666666667
Resistant starch,Lactobacillus-murinus,0.10074,0.20044144329896907
Resistant starch,Lactococcus,0.805353,1.0
Resistant starch,Leuconostoc,1.0,1.0
Resistant starch,Lysinibacillus,1.0,1.0
Resistant starch,Malacoplasma-muris,0.559458,0.7712610857142856
Resistant starch,Marvinbryantia,0.786097,1.0
Resistant starch,Megamonas,0.87125,1.0
Resistant starch,Monoglobus,0.828884,1.0
Resistant starch,Morganella,0.210377,0.3458609067796611
Resistant starch,Mucispirillum-schaedleri,0.006266,0.020155633333333332
Resistant starch,Muribaculaceae,9.9e-05,0.00095535
Resistant starch,Muribaculum,1e-06,6.433333333333333e-05
Resistant starch,Muribaculum-intestinale,1.0,1.0
Resistant starch,NK4A214-group,0.005159,0.017167017241379312
Resistant starch,Negativibacillus,0.002182,0.00985646511627907
Resistant starch,Odoribacter,0.001199,0.006089657894736842
Resistant starch,Oscillibacter,0.148033,0.27738222330097084
Resistant starch,Oscillospiraceae,0.70381,0.9433009027777779
Resistant starch,Oscillospirales,0.004526,0.015324877192982455
Resistant starch,Oxalobacter-formigenes,1.0,1.0
Resistant starch,Paenarthrobacter,0.52934,0.7457125547445256
Resistant starch,Paludicola,0.033158,0.08384301234567901
Resistant starch,Parabacteroides,6e-06,0.00019299999999999997
Resistant starch,Parabacteroides-distasonis,3.3e-05,0.0005307500000000001
Resistant starch,Parabacteroides-goldsteinii,1.9e-05,0.0003667
Resistant starch,Parabacteroides-merdae,8e-05,0.0008837368421052631
Resistant starch,Parabacteroides-sp.,0.000286,0.001690212121212121
Resistant starch,Parabacteroides-sp.-CT06,1.0,1.0
Resistant starch,Parasutterella,0.002568,0.011048177777777779
Resistant starch,Parasutterella-excrementihominis,0.323885,0.5041113306451613
Resistant starch,Parvibacter,0.002799,0.011743630434782609
Resistant starch,Pasteurellaceae-bacterium,0.159073,0.2904941320754717
Resistant starch,Peptococcaceae,8.6e-05,0.0008837368421052631
Resistant starch,Peptococcus,0.072555,0.1538803846153846
Resistant starch,Peptostreptococcaceae,0.768124,0.9949525637583894
Resistant starch,Prevotellaceae,0.000242,0.001690212121212121
Resistant starch,Prevotellaceae-UCG-001,0.004128,0.014755727272727273
Resistant starch,Proteus,0.767943,0.9949525637583894
Resistant starch,RF39,0.088564,0.1818388510638298
Resistant starch,Rikenella,0.003337,0.01314369387755102
Resistant starch,Rikenella-sp.-Marseille-P3215,1.0,1.0
Resistant starch,Rikenellaceae,1.3e-05,0.00027877777777777775
Resistant starch,Rikenellaceae-RC9-gut-group,0.000897,0.004808916666666667
Resistant starch,Rikenellaceae-bacterium-DTU002,1.0,1.0
Resistant starch,Romboutsia,1.0,1.0
Resistant starch,Roseburia,0.185779,0.3289481376146789
Resistant starch,Ruminiclostridium,1.0,1.0
Resistant starch,Ruminococcaceae,0.858772,1.0
Resistant starch,Ruminococcus-sp.-N15.MGS-57,0.000207,0.001690212121212121
Resistant starch,Sphingobium,0.367049,0.5407668473282443
Resistant starch,Sphingopyxis,1.0,1.0
Resistant starch,Streptococcus,0.756971,0.9949525637583894
Resistant starch,Subdoligranulum,1.0,1.0
Resistant starch,Tannerellaceae,2.1e-05,0.0003684545454545454
Resistant starch,Turicibacter,0.01145,0.03452890625
Resistant starch,Tuzzerella,0.249897,0.39985612396694215
Resistant starch,UBA1819,0.002893,0.01187976595744681
Resistant starch,UCG-005,0.01804,0.051201764705882356
Resistant starch,UCG-009,0.250687,0.39985612396694215
Resistant starch,UCG-010,0.069636,0.1527244090909091
Resistant starch,Vagococcus,1.0,1.0
Resistant starch,Veillonella,1.0,1.0
Resistant starch,[Acetivibrio]-ethanolgignens-group,0.000289,0.001690212121212121
Resistant starch,[Clostridium]-aldenense,1.0,1.0
Resistant starch,[Clostridium]-leptum,0.327492,0.5056476480000001
Resistant starch,[Clostridium]-methylpentosum-group,0.210345,0.3458609067796611
Resistant starch,[Eubacterium]-brachy-group,0.079601,0.1651934731182796
Resistant starch,[Eubacterium]-coprostanoligenes-group,0.023368,0.0635214647887324
Resistant starch,[Eubacterium]-fissicatena-group,0.022509,0.062060528571428575
Resistant starch,[Eubacterium]-hallii-group,1.0,1.0
Resistant starch,[Eubacterium]-nodatum-group,0.520803,0.7390807279411765
Resistant starch,[Eubacterium]-ventriosum-group,0.000288,0.001690212121212121
Resistant starch,[Eubacterium]-xylanophilum-group,0.159546,0.2904941320754717
Resistant starch,[Ruminococcus]-torques-group,0.035159,0.08384301234567901
Resistant starch,gut-metagenome,0.000389,0.002145057142857143
Resistant starch,metagenome,1.0,1.0
Resistant starch,mouse-gut-metagenome,0.072095,0.1538803846153846
