,Mouse,Vendor_stringent,Vendor_loose
Rhodospirillales,0.06896551724137931,0.0,0.5
Flavobacterium,0.06896551724137931,0.0,0.75
Veillonella,0.06896551724137931,0.0,0.25
Corynebacterium,0.06896551724137931,0.0,0.5
Lachnospiraceae-UCG-010,0.06896551724137931,0.0,1.0
marine-metagenome,0.06896551724137931,0.0,0.75
Bacillus,0.06896551724137931,0.0,0.75
[Clostridium]-methylpentosum-group,0.06896551724137931,0.0,0.25
Bacteroidales,0.06896551724137931,0.0,0.5
Lachnospiraceae-bacterium-A4,0.08620689655172414,0.0,0.75
Lachnospiraceae-UCG-001,0.08620689655172414,0.0,0.5
Methyloprofundus,0.08620689655172414,0.0,0.75
Anaerofilum,0.08620689655172414,0.0,0.25
Faecalibaculum-rodentium,0.08620689655172414,0.0,0.5
Faecalibacterium,0.08620689655172414,0.0,0.75
Eisenbergiella,0.08620689655172414,0.0,0.5
Eggerthella,0.08620689655172414,0.0,0.25
Lysinibacillus,0.08620689655172414,0.0,0.75
Erysipelotrichaceae-UCG-003,0.08620689655172414,0.0,0.5
Alistipes-obesi,0.10344827586206896,0.0,0.5
Megamonas,0.10344827586206896,0.0,0.75
Clostridium-sp.-Clone-44,0.10344827586206896,0.0,0.75
Alistipes-sp.-N15.MGS-157,0.10344827586206896,0.0,0.25
Ethanoligenenaceae,0.10344827586206896,0.0,0.25
Pasteurellaceae-bacterium,0.10344827586206896,0.0,0.5
Anaeroplasma,0.10344827586206896,0.0,0.25
Butyricimonas-virosa,0.1206896551724138,0.0,0.5
Bacteria,0.13793103448275862,0.0,1.0
Christensenella-sp.-Marseille-P2437,0.13793103448275862,0.0,0.25
Subdoligranulum,0.15517241379310345,0.0,0.5
Eubacterium-sp.-14-2,0.15517241379310345,0.0,0.75
Butyricimonas-synergistica,0.15517241379310345,0.0,0.5
Frisingicoccus,0.15517241379310345,0.0,0.25
[Ruminococcus]-torques-group,0.15517241379310345,0.0,0.25
Bacteroides-nordii,0.15517241379310345,0.0,0.25
Parasutterella-excrementihominis,0.1724137931034483,0.0,0.5
Clostridium-sp.-Culture-41,0.1724137931034483,0.0,0.75
Bifidobacterium-choerinum,0.1724137931034483,0.0,0.5
Christensenella-minuta,0.1724137931034483,0.0,0.25
Paenarthrobacter,0.1724137931034483,0.0,1.0
Arcobacteraceae,0.1896551724137931,0.0,1.0
Peptostreptococcaceae,0.1896551724137931,0.0,0.75
Eubacterium-plexicaudatum,0.1896551724137931,0.0,0.25
Parvibacter,0.20689655172413793,0.0,0.5
Acutalibacter-muris,0.20689655172413793,0.0,1.0
Proteus,0.20689655172413793,0.0,1.0
Sphingobium,0.22413793103448276,0.0,1.0
Dubosiella,0.22413793103448276,0.0,0.5
Candidatus-Gastranaerophilales-bacterium-Zag_111,0.2413793103448276,0.0,0.75
[Acetivibrio]-ethanolgignens-group,0.2413793103448276,0.0,0.25
Parabacteroides-sp.,0.2413793103448276,0.0,0.5
Christensenellaceae-R-7-group,0.25862068965517243,0.0,0.75
Burkholderiales-bacterium-YL45,0.25862068965517243,0.0,0.5
Paludicola,0.25862068965517243,0.0,0.75
[Eubacterium]-fissicatena-group,0.27586206896551724,0.0,0.5
Flavonifractor,0.27586206896551724,0.0,0.5
[Eubacterium]-ventriosum-group,0.27586206896551724,0.25,0.5
Alistipes-inops,0.27586206896551724,0.25,0.75
Parabacteroides-merdae,0.29310344827586204,0.0,0.5
Helicobacter,0.29310344827586204,0.25,0.5
Bacteroides-stercorirosoris,0.29310344827586204,0.25,0.5
Prevotellaceae,0.29310344827586204,0.0,0.5
Helicobacter-hepaticus,0.29310344827586204,0.25,0.5
[Clostridium]-leptum,0.3103448275862069,0.0,0.75
Malacoplasma-muris,0.3103448275862069,0.0,1.0
Coriobacteriaceae-UCG-002,0.3103448275862069,0.0,0.5
Prevotellaceae-UCG-001,0.3275862068965517,0.0,0.75
Lactobacillus-murinus,0.3275862068965517,0.0,0.75
[Eubacterium]-coprostanoligenes-group,0.3448275862068966,0.0,1.0
Lactococcus,0.3448275862068966,0.0,1.0
Tannerellaceae,0.3620689655172414,0.0,0.75
Lachnospiraceae-bacterium-595,0.3793103448275862,0.0,0.5
Lactobacillus-intestinalis,0.3793103448275862,0.0,0.75
Rikenellaceae,0.39655172413793105,0.25,0.5
Clostridium-sp.-Culture-54,0.39655172413793105,0.0,0.75
[Eubacterium]-brachy-group,0.39655172413793105,0.0,1.0
Bacteroides-sartorii,0.39655172413793105,0.25,0.5
Parabacteroides-distasonis,0.41379310344827586,0.25,0.75
Dubosiella-newyorkensis,0.41379310344827586,0.0,0.75
Brevinema,0.41379310344827586,0.0,1.0
Enterorhabdus,0.43103448275862066,0.0,0.75
Bacteroides-xylanisolvens,0.43103448275862066,0.0,0.75
Clostridia,0.43103448275862066,0.0,1.0
Anaerovorax,0.4482758620689655,0.0,0.75
Bacteroides-vulgatus-ATCC-8482,0.46551724137931033,0.25,0.5
Clostridium-sp.-Culture-27,0.4827586206896552,0.0,0.75
Defluviitaleaceae-UCG-011,0.5,0.0,1.0
Clostridiales-bacterium-CIEAF-020,0.5,0.0,0.75
UBA1819,0.5,0.5,0.5
Enterobacteriaceae,0.5,0.0,1.0
Gastranaerophilales,0.5,0.5,0.5
Alistipes-sp.-cv1,0.5,0.25,0.75
Butyricicoccus,0.5,0.0,1.0
Oscillospirales,0.5,0.25,1.0
Butyricimonas,0.5344827586206896,0.5,0.75
Alistipes-shahii,0.5344827586206896,0.25,0.75
Lachnospiraceae-bacterium-DW59,0.5344827586206896,0.5,0.75
Enterococcus,0.5344827586206896,0.0,1.0
Muribaculum,0.5344827586206896,0.5,0.75
UCG-005,0.5344827586206896,0.0,1.0
RF39,0.5517241379310345,0.0,1.0
Marvinbryantia,0.5689655172413793,0.0,1.0
Helicobacter-mastomyrinus,0.5689655172413793,0.5,1.0
Desulfovibrio-fairfieldensis,0.5689655172413793,0.5,0.75
Ruminococcus-sp.-N15.MGS-57,0.5862068965517241,0.25,1.0
Odoribacter,0.603448275862069,0.5,1.0
Desulfovibrio,0.603448275862069,0.25,0.75
Bilophila,0.6206896551724138,0.25,0.75
Bacteroides-caecimuris,0.6379310344827587,0.5,0.75
Helicobacter-ganmani,0.6379310344827587,0.25,1.0
A2,0.6379310344827587,0.25,1.0
Bifidobacterium,0.6551724137931034,0.0,1.0
Erysipelatoclostridium,0.6724137931034483,0.0,1.0
Turicibacter,0.6896551724137931,0.5,1.0
Dorea-sp.-5-2,0.6896551724137931,0.0,1.0
Candidatus-Saccharimonas,0.7068965517241379,0.25,0.75
Monoglobus,0.7068965517241379,0.0,1.0
UCG-010,0.7413793103448276,0.25,1.0
Streptococcus,0.7413793103448276,0.0,1.0
[Eubacterium]-xylanophilum-group,0.7413793103448276,0.25,1.0
mouse-gut-metagenome,0.7413793103448276,0.0,1.0
Alistipes,0.7413793103448276,0.75,0.75
Lachnospiraceae-bacterium-10-1,0.7586206896551724,0.75,1.0
Rikenella,0.7586206896551724,0.5,1.0
Erysipelotrichaceae,0.7758620689655172,0.0,1.0
Clostridiales-bacterium-CIEAF-012,0.7758620689655172,0.0,1.0
Bacteroides-uniformis,0.7758620689655172,0.5,1.0
Intestinimonas,0.7758620689655172,0.25,1.0
NK4A214-group,0.7758620689655172,0.5,1.0
Harryflintia,0.7931034482758621,0.25,1.0
Clostridium-sensu-stricto-1,0.7931034482758621,0.75,1.0
Peptococcus,0.7931034482758621,0.25,1.0
Christensenellaceae,0.8275862068965517,0.25,1.0
Desulfovibrionaceae,0.8620689655172413,0.5,1.0
Rikenellaceae-RC9-gut-group,0.8793103448275862,0.75,1.0
Acetatifactor,0.9137931034482759,0.25,1.0
Family-XIII-AD3011-group,0.9137931034482759,0.75,1.0
[Eubacterium]-nodatum-group,0.9137931034482759,0.25,1.0
Bacteroides-acidifaciens,0.9137931034482759,0.75,1.0
UCG-009,0.9310344827586207,0.75,1.0
Lactobacillus,0.9482758620689655,0.75,1.0
ASF356,0.9482758620689655,0.5,1.0
gut-metagenome,0.9655172413793104,0.75,1.0
Alloprevotella,0.9827586206896551,0.75,1.0
Akkermansia-muciniphila,0.9827586206896551,0.75,1.0
Peptococcaceae,0.9827586206896551,0.75,1.0
GCA-900066575,0.9827586206896551,0.75,1.0
Parabacteroides,0.9827586206896551,0.75,1.0
Lachnospiraceae-FCS020-group,0.9827586206896551,0.75,1.0
Negativibacillus,0.9827586206896551,0.75,1.0
Parasutterella,1.0,1.0,1.0
Parabacteroides-goldsteinii,1.0,1.0,1.0
Oscillospiraceae,1.0,1.0,1.0
Oscillibacter,1.0,1.0,1.0
Anaerotruncus,1.0,1.0,1.0
Muribaculaceae,1.0,1.0,1.0
Bacteroides,1.0,1.0,1.0
Roseburia,1.0,1.0,1.0
Mucispirillum-schaedleri,1.0,1.0,1.0
Incertae-Sedis,1.0,1.0,1.0
Ruminococcaceae,1.0,1.0,1.0
Clostridia-UCG-014,1.0,1.0,1.0
Clostridia-vadinBB60-group,1.0,1.0,1.0
Lachnospiraceae-bacterium-28-4,1.0,1.0,1.0
Lachnospiraceae-UCG-006,1.0,1.0,1.0
Colidextribacter,1.0,1.0,1.0
Lachnospiraceae-NK4A136-group,1.0,1.0,1.0
Lachnospiraceae,1.0,1.0,1.0
Escherichia-Shigella,1.0,1.0,1.0
Faecalibaculum,1.0,1.0,1.0
Lachnoclostridium,1.0,1.0,1.0
Tuzzerella,1.0,1.0,1.0
Blautia,1.0,1.0,1.0
