,Variable,pRelabIDVL,log10_pRelabIDVL,pAbsabIDVL,log10_pAbsabIDVL,meanAbsab_rs,log10_meanAbsab_rs,meanAbsab_cellulose,log10_meanAbsab_cellulose,MeanAreaRatio,log10_MeanAreaRatio,pAbsabAreaRatio,log10_pAbsabAreaRatio
15,Alistipes-inops,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,9035.265032198926,3.9559408962808305,36604.64213651622,4.563536165351558,0.2468338578069443,-0.6075952690707276,0.3767291139240506,-0.4239708158785499
16,Alistipes-obesi,0.961540741,-0.01703231,0.96448839,-0.015702996,882.147292779767,2.945541105654213,942.034340154982,2.9740667344998695,0.9364279572171833,-0.028525628845656185,1.0,0.0
17,Alistipes-shahii,0.002951456,-2.529963641,0.023918782000000003,-1.621260944,18320.47775193768,4.262936794786246,10817.516548056865,4.034127568231685,1.693593688583593,0.2288092265545618,0.5371571428571429,-0.26989864485503157
18,Alistipes-sp.-N15.MGS-157,3.49e-06,-5.456645668999999,0.051636364000000004,-1.287044349,2362.6737989377684,3.3734037651785083,1358.1147553839514,3.1329364676796945,1.7396716953198987,0.2404672974988141,0.7263496855345912,-0.13885424715697736
19,Alistipes-sp.-cv1,0.628769466,-0.201508557,0.013582978999999998,-1.86700498,12672.824833660485,4.102873432004988,9802.999053067806,3.9913589606867674,1.2927497763752798,0.11151447131822038,0.7448,-0.12796033202671378
20,Allobaculum,0.022441202,-1.648953891,0.000449091,-3.347665736,182.76993915604837,2.261904767260975,362.2183513639337,2.558970449551192,0.5045849788334243,-0.2970656822902167,0.79446267281106,-0.09992650295377704
21,Alloprevotella,9.91e-06,-5.003792989,4.9e-06,-5.3095181060000005,4175567.1430439884,6.620715471524163,4137013.6918133846,6.61668695823396,1.0093191500204353,0.00402851329020303,1.0,0.0
22,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,1.0,0.0,1.0,0.0,5.562256706953407,0.7452510283686035,0.0,-inf,inf,inf,0.8115300448430495,-0.0906953968876535
23,Alteromonas,0.000562963,-3.2495201760000003,0.000690909,-3.160579093,49.029066354838704,1.6904536231910636,0.0,-inf,inf,inf,1.0,0.0
24,Anaerofilum,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,229.6740567084678,2.361111941365354,779.3645126557616,2.8917406268753827,0.2946940141344526,-0.530628685510029,0.5115963963963964,-0.2910725232838291
25,Anaerofustis,0.003890047,-2.4100451080000003,0.001501235,-2.8235514439999996,12.018607994354838,1.0798541702142817,220.97658050229387,2.3443462488092193,0.05438860519533688,-1.2644920785949376,0.14503333333333335,-0.8385321714269455
26,Anaeroplasma,0.00044058,-3.3559755069999997,0.047792308,-1.320641999,9619.660281599077,3.9831597351945653,981.9470704534051,2.99208807879557,9.796516096491114,0.9910716563989956,0.0266,-1.575118363368933
27,Anaerostipes,1.0,0.0,1.0,0.0,221.80792090860214,2.345977051035298,46.83015835483871,1.67052562633891,4.736433287881119,0.675451424696388,0.483245283018868,-0.315832376448659
28,Anaerotruncus,0.002246305,-2.648531195,0.019331281999999998,-1.713739343,1013400.9161667597,6.005781292579468,853738.6678691052,5.931324952104431,1.1870153646620745,0.07445634047503685,0.8232105726872246,-0.08448906046351155
29,Anaerotruncus-sp.-G3(2012),3.49e-06,-5.456645668999999,0.000690909,-3.160579093,110.56906119803762,2.043633622170641,357.6071577849462,2.553406202952164,0.30919140959849134,-0.5097725807815225,0.5490707692307693,-0.26037167612250617
30,Anaerovoracaceae,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,300.95895773471324,2.478507274183023,49.85537943655914,1.6977120259087914,6.036639599096479,0.7807952482742316,0.5490707692307693,-0.26037167612250617
31,Anaerovorax,3.49e-06,-5.456645668999999,0.0005577980000000001,-3.253522919,5696.001926398332,3.7555701275080176,9336.01089384293,3.9701613497996435,0.6101108911681785,-0.2145912222916258,0.3790617283950617,-0.42129006148725345
32,Anoxybacillus,0.000394504,-3.4039487910000004,0.0005116830000000001,-3.2909988689999996,145.36134245062726,2.1624489251434524,32.41880746633065,1.5107970351788225,4.483858408474645,0.6516518899646302,0.7448,-0.12796033202671378
33,Arcobacteraceae,0.22648605600000002,-0.644958531,0.08373818200000001,-1.077076473,3583.294634293674,3.554282519242622,2344.011985588656,3.369959828020843,1.5287014982535572,0.18432269122177897,0.5490707692307693,-0.26037167612250617
34,Asticcacaulis,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,13.905641769462367,1.1431910371055667,115.91641258401432,2.064144931994905,0.11996266498830599,-0.9209538948893382,0.7448,-0.12796033202671378
35,Atopobiaceae,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,0.0,-inf,0.0,-inf,,,2.7636363636363633e-05,-4.5585191015494715
36,Bacilli,0.000394504,-3.4039487910000004,0.0005116830000000001,-3.2909988689999996,5.111416008870966,0.708541228833278,10.523344040000001,1.022153769032918,0.48572164793264383,-0.3136125401996401,1.0,0.0
37,Bacillus,1.0,0.0,0.26964033600000004,-0.56921514,1143.4018207384497,3.0581988794437884,403.6897180503136,2.606047688100237,2.83237786253437,0.45215119134355103,0.304,-0.5171264163912462
38,Bacteria,0.085798347,-1.0665210790000001,0.10811945699999999,-0.9660961440000001,618.9999491726425,2.7916906133593073,896.241807762665,2.952425198957888,0.6906617653977605,-0.16073458559858048,0.9873544401544401,-0.005526916458214637
39,Bacteroidales,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,32422.40493077161,4.510845225485554,496.87879354344085,2.696250461741313,65.25214066705183,1.8145947637442412,0.0032,-2.494850021680094
40,Bacteroides,0.00026206900000000003,-3.581584406,0.022489796,-1.648014486,7336705.2921509845,6.865501074265836,4650761.768422055,6.667524093691355,1.5775276519141586,0.1979769805744801,0.5676969696969697,-0.2458834239838473
41,Bacteroides-acidifaciens,3.49e-06,-5.456645668999999,8.22e-05,-4.08532814,9769170.747387897,6.989857700349451,4334428.2218333725,6.636931815426865,2.25385454491521,0.3529258849225853,0.304,-0.5171264163912462
42,Bacteroides-caccae,0.0007794869999999999,-3.1081910230000003,0.039834483,-1.3997408180000002,1160.5777372387813,3.0646742354624577,838.991465318835,2.9237575429695974,1.3833010050915553,0.14091669249285999,0.8073194570135747,-0.0929545805627835
43,Bacteroides-caecimuris,3.49e-06,-5.456645668999999,0.000690909,-3.160579093,67386.69779080243,4.828574174781392,100695.46413124978,5.003009908019996,0.6692128426258445,-0.17443573323860406,0.6802520547945206,-0.16733013770024596
44,Bacteroides-coprocola-DSM-17136,0.000562963,-3.2495201760000003,0.000690909,-3.160579093,0.0,-inf,0.0,-inf,,,2.7636363636363633e-05,-4.5585191015494715
45,Bacteroides-faecichinchillae,1.0,0.0,0.915428571,-0.038375537,92.07136747105733,1.9641245934688965,0.0,-inf,inf,inf,0.7448,-0.12796033202671378
46,Bacteroides-nordii,0.0007794869999999999,-3.1081910230000003,0.0005577980000000001,-3.253522919,3583.218642854363,3.55427330900007,4085.21700534733,3.611215131057353,0.8771183117479737,-0.05694182205728286,0.9726812500000002,-0.012029455770472553
47,Bacteroides-sartorii,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,105782.6291355812,5.024414356830116,152680.506603886,5.183783592296888,0.6928365086580662,-0.15936923546677265,0.7939514018691588,-0.10020608012453207
48,Bacteroides-sp.-Smarlab-3302398,0.000562963,-3.2495201760000003,4.9e-06,-5.3095181060000005,23.216475597419354,1.3657962918553423,34.03534046173835,1.5319300992895146,0.68212849592378,-0.16613380743417233,0.9136,-0.039243909098227184
49,Bacteroides-stercorirosoris,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,14519.258797190054,4.161944446356731,39409.04933843647,4.595595958538505,0.368424487292291,-0.433651512181774,0.5490707692307693,-0.26037167612250617
50,Bacteroides-uniformis,3.49e-06,-5.456645668999999,8.22e-05,-4.08532814,266613.3159268893,5.4258818363349715,371143.8634785645,5.569542284289406,0.7183557163738142,-0.14366044795443425,0.7448,-0.12796033202671378
51,Bacteroides-vulgatus-ATCC-8482,0.06703263599999999,-1.1737137020000001,0.004497040999999999,-2.347073112,1099777.6008561158,6.041304870170691,520114.8001767097,5.716099212059055,2.1144901096497635,0.3252056581116365,0.483245283018868,-0.315832376448659
52,Bacteroides-xylanisolvens,3.49e-06,-5.456645668999999,0.000153924,-3.8126935160000004,45012.518267220155,4.6533333106270796,5645.776361874757,3.751723671060751,7.97277741484488,0.9016096395663287,0.2265290322580645,-0.6448761303333747
53,Bifidobacterium,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,83889.18148583117,4.923705956967535,10415.971627099165,4.017699788216143,8.053898809360929,0.9060061687513924,0.0032,-2.494850021680094
54,Bifidobacterium-choerinum,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,201550.564694961,5.3043840192767755,42588.69109086858,4.629294292791562,4.732490234671132,0.6750897264852127,0.25517575757575756,-0.5931605872046852
55,Bilophila,3.49e-06,-5.456645668999999,0.01495873,-1.8251052719999998,541148.4478544989,5.733316417122342,472106.83208402555,5.674040285360132,1.1462415095026315,0.05927613176221065,0.9382984126984127,-0.02765901836134939
56,Blautia,0.0007794869999999999,-3.1081910230000003,0.176507489,-0.7532368629999999,626477.3778848678,5.796905393227769,684919.9658506799,5.835639826353557,0.9146723838116975,-0.038734433125787254,0.9136,-0.039243909098227184
57,Bosea,0.425717829,-0.37087816100000004,1.0,0.0,246.35245568216845,2.3915568957519855,0.0,-inf,inf,inf,0.26316417910447765,-0.5797732255291353
58,Brachybacterium,0.0007794869999999999,-3.1081910230000003,1.0,0.0,88.65911477849463,1.9477233907493037,19.92945892479391,1.2994955079746398,4.448646353775079,0.648227882774664,0.7448,-0.12796033202671378
59,Bradyrhizobium,0.0007794869999999999,-3.1081910230000003,0.000955975,-3.019553536,0.0,-inf,37.93215686603943,1.5790075378883237,0.0,-inf,1.0,0.0
60,Brevinema,0.361475,-0.441921734,0.450015748,-0.346772288,7463.066544845715,3.872917314048433,3775.6812735507438,3.5769953259384155,1.97661455089594,0.2959219881100177,0.12230697674418604,-0.9125487688420374
61,Burkholderia-Caballeronia-Paraburkholderia,0.00044058,-3.3559755069999997,0.0005577980000000001,-3.253522919,103.16426627096776,2.013529293718209,23.786554688709682,1.376331542161719,4.337083180858252,0.6371977515564898,0.7472709359605911,-0.12652190868106927
62,Burkholderiales,1.0,0.0,1.0,0.0,236.76273045161292,2.374313339803072,0.0,-inf,inf,inf,0.06586666666666667,-1.181334314468053
63,Burkholderiales-bacterium-YL45,3.49e-06,-5.456645668999999,0.000219759,-3.6580532580000003,60871.835996050715,4.784416400996126,79049.35059656997,4.897898306482211,0.7700485271120241,-0.11348190548608411,0.8495038626609442,-0.07083464207036855
64,Butyricicoccus,3.49e-06,-5.456645668999999,0.000690909,-3.160579093,10577.540429918492,4.024384693985081,10877.246220392266,4.036518959455541,0.9724465379930541,-0.012134265470459418,1.0,0.0
65,Butyricimonas,3.49e-06,-5.456645668999999,0.000690909,-3.160579093,144263.35826149496,5.159156037776827,192286.1980554381,5.283948112509512,0.7502533188570422,-0.12479207473268444,0.7448,-0.12796033202671378
66,Butyricimonas-sp.-AT11,0.005743779,-2.240802294,1.0,0.0,251.0634982924731,2.399783575944755,136.34448736293547,2.13463758337588,1.8413908999794544,0.2651459925688747,0.8137428571428572,-0.08951281054916717
67,Butyricimonas-synergistica,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,1929.7814354648297,3.2855081241649255,2534.6851086069173,3.403924013338452,0.7613495770784138,-0.11841588917352656,0.9271394422310756,-0.032854942838004615
68,Butyricimonas-virosa,0.0015276379999999998,-2.815979493,0.003438095,-2.463682097,2771.065944718549,3.442646861071513,1087.152816078154,3.0362905951578725,2.5489203575951924,0.4063562659136409,0.32021333333333335,-0.49456058849250484
69,Candidatus-Arthromitus,0.000562963,-3.2495201760000003,0.000690909,-3.160579093,0.0,-inf,15.21277570564516,1.182208462157122,0.0,-inf,1.0,0.0
70,Candidatus-Gastranaerophilales-bacterium-Zag_111,0.961540741,-0.01703231,0.797219772,-0.098421939,111311.84014955004,5.046541362341211,41305.52364813971,4.616008132273887,2.6948415204164404,0.4305332300673233,0.4861158878504673,-0.31326018453535565
71,Candidatus-Saccharimonas,0.193021687,-0.7143938940000001,0.00219759,-2.6580532580000003,416448.35439104174,5.619561150295717,411803.34833154036,5.61468987350105,1.0112796704502793,0.004871276794667209,1.0,0.0
72,Candidatus-Soleaferrea,3.49e-06,-5.456645668999999,0.000690909,-3.160579093,1197.648750775681,3.078329465826938,1853.1524074407528,3.267911138147095,0.6462764454595843,-0.18958167232015707,0.7158186666666667,-0.1451969805413965
73,Candidatus-Stoquefichus,0.000690909,-3.160579093,0.000838621,-3.0764344269999997,69.6345660967742,1.842824873785598,61.186142129928314,1.7866530711979123,1.1380774089156613,0.05617180258768563,1.0,0.0
74,Caproiciproducens,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,0.0,-inf,13.602777003225805,1.1336275785218892,0.0,-inf,0.4484783505154639,-0.34825851689771475
75,Catenibacterium,0.000394504,-3.4039487910000004,0.0005116830000000001,-3.2909988689999996,0.0,-inf,34.84647096954301,1.5421588020592998,0.0,-inf,0.7448,-0.12796033202671378
76,Cellulosimicrobium,3.49e-06,-5.456645668999999,0.0005116830000000001,-3.2909988689999996,30.74075636021505,1.4877145488835253,52.8391181122491,1.7229555606044882,0.58178026921098,-0.23524101172096298,0.8102558558558559,-0.09137782156487297
77,Cetobacterium,1.0,0.0,1.0,0.0,543.7062302433693,2.7353643095417395,0.0,-inf,inf,inf,0.38630243902439027,-0.41307254981145725
78,Chloroplast,1.31e-05,-4.883549373999999,1.8100000000000003e-05,-4.741141228,464.5959177497581,2.6670753894794066,104.8483596876792,2.020561640484129,4.4311224241722975,0.6465137489952775,0.13712340425531913,-0.8628884133982123
79,Christensenella-minuta,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,664.4513907524641,2.822463214774381,2353.2459604238165,3.3716673218518736,0.28235526669417815,-0.5492041070774928,0.4433333333333334,-0.3532696137525766
80,Christensenella-sp.-Marseille-P2437,0.000562963,-3.2495201760000003,0.0005577980000000001,-3.253522919,1223.0036639928494,3.0874277581397136,262.3669654991039,2.4189091523324073,4.661423977924638,0.6685186058073063,0.1794769230769231,-0.7459913845488589
81,Christensenellaceae,3.49e-06,-5.456645668999999,0.291914754,-0.534743954,22495.147368237478,4.352088842622844,19963.06184115461,4.300227152118586,1.1268385354526569,0.051861690504257776,0.7614901960784314,-0.11833568368243227
82,Christensenellaceae-R-7-group,0.007770404,-2.109556424,0.001321739,-2.878854252,1228.508243697527,3.089378075085806,804.2060428121147,2.9053673320721605,1.5276038456534469,0.1840107430136454,0.7448,-0.12796033202671378
83,Clostridia,3.49e-06,-5.456645668999999,0.056354717,-1.249069727,11872.759509715564,4.07455167098143,11508.30176429814,4.061011241196328,1.0316691161634353,0.013540429785101624,1.0,0.0
84,Clostridia-UCG-014,0.001381818,-2.859549097,2.24e-05,-4.650665325,1628651.5879426706,6.211828187060036,517486.3103956572,5.713898865436659,3.147236081853922,0.49792932162337683,0.007600000000000001,-2.1191864077192086
85,Clostridia-vadinBB60-group,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,1466688.1851677955,6.166337793560441,2176974.134131195,6.337853268971813,0.6737278877928119,-0.1715154754113714,0.10488,-0.9793073213179722
86,Clostridiales-bacterium-CIEAF-012,0.00376381,-2.4243723630000003,0.016783333,-1.77512178,15714.105792495186,4.196289672631087,11895.95584513423,4.07539934352246,1.3209620140715876,0.12089032910862688,0.37142564102564096,-0.4301281184434003
87,Clostridiales-bacterium-CIEAF-020,0.311061417,-0.507153854,0.059386047000000004,-1.226315586,82630.07394771746,4.9171381414176,42940.22785055916,4.632864344571073,1.9243045061448474,0.2842737968465267,0.5115963963963964,-0.2910725232838291
88,Clostridiales-bacterium-CIEAF-021,0.000562963,-3.2495201760000003,0.000690909,-3.160579093,0.0,-inf,26.788835174193554,1.4279538301286203,0.0,-inf,1.0,0.0
89,Clostridiales-bacterium-CIEAF-026,0.0007794869999999999,-3.1081910230000003,0.000955975,-3.019553536,56.64043892749551,1.7531266102016745,15.962745656093194,1.2031075938276061,3.548289257235336,0.5500190163740686,0.7346070588235294,-0.13394490284427962
90,Clostridium-isatidis,0.000394504,-3.4039487910000004,0.0005116830000000001,-3.2909988689999996,0.0,-inf,8.3922040125,0.923876032910244,0.0,-inf,0.12835555555555556,-0.891585329213761
91,Clostridium-sensu-stricto-1,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,59406.14960538291,4.773831404601465,99407.38569038131,4.997418652459871,0.5976029768091071,-0.22358724785840564,0.5490707692307693,-0.26037167612250617
92,Clostridium-sp.-ASF356,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,0.0,-inf,0.0,-inf,,,2.7636363636363633e-05,-4.5585191015494715
93,Clostridium-sp.-Clone-44,3.49e-06,-5.456645668999999,0.802606061,-0.095497565,8273.383926225268,3.917683178222252,14474.175441979532,4.160593832420326,0.5715962169582335,-0.24291065419807376,0.6763475862068965,-0.16983005557327846
94,Clostridium-sp.-Clone-47,0.0007794869999999999,-3.1081910230000003,0.000955975,-3.019553536,0.0,-inf,23.44907669032258,1.370125747000255,0.0,-inf,0.177536,-0.7507135692788468
95,Clostridium-sp.-Clone-49,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,6.088387037594086,0.7845022526568359,2713.3225636496413,3.433501426377101,0.0022438861929503532,-2.6489991737202647,0.483245283018868,-0.315832376448659
96,Clostridium-sp.-Culture-27,0.00376381,-2.4243723630000003,0.016075393,-1.79383841,8033.679932484722,3.904914525139655,7023.293359613746,3.846540809068517,1.1438622197786912,0.058373716071137685,0.8988266666666667,-0.04632405127918231
97,Clostridium-sp.-Culture-41,0.0007794869999999999,-3.1081910230000003,0.000955975,-3.019553536,5070.678507084493,3.7050660761315286,3489.618255708574,3.542777920223609,1.4530754184328054,0.16228815590791973,0.796256880733945,-0.09894680175000303
98,Clostridium-sp.-Culture-54,0.185107692,-0.732575533,0.19997913,-0.6990153240000001,27904.789408485212,4.4456787493368966,25993.5426525586,4.414865473406675,1.0735277519295157,0.030813275930221696,0.9548472440944882,-0.020066101037363563
99,Clostridium-sp.-ND2,0.000690909,-3.160579093,0.24772766,-0.6060255,0.0,-inf,309.23022636602155,2.490281938358771,0.0,-inf,0.1930962962962963,-0.7142260561714443
100,Colidextribacter,0.000690909,-3.160579093,9.5e-06,-5.022276395,1606384.7588589748,6.205849574962656,1499909.9957930562,6.176065199386898,1.0709874348224617,0.029784375575758092,0.9136,-0.039243909098227184
101,Collinsella,1.0,0.0,0.000955975,-3.019553536,36.07477561456092,1.5572036384582253,65.57995733985663,1.816771129822354,0.5500884275909135,-0.25956749136412854,0.9136,-0.039243909098227184
102,Coprococcus,0.000394504,-3.4039487910000004,0.0005116830000000001,-3.2909988689999996,94.27878278333333,1.9744139667893446,135.44934708064514,2.1317769159032856,0.6960445717556742,-0.15736294911394078,0.9029178423236515,-0.04435176491212913
103,Coriobacteriaceae-UCG-002,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,10339.259504556274,4.014489435798444,1460.4499589990148,3.1644866808556724,7.07950275245497,0.8500027549427713,0.011580952380952381,-1.936255724133222
104,Corynebacterium,1.0,0.0,1.0,0.0,76.62856190497311,1.8843906751900525,21.800826761290324,1.3384729638366144,3.5149383435785673,0.5459177113534381,0.7448,-0.12796033202671378
105,Corynebacterium-propinquum,0.000394504,-3.4039487910000004,1.0,0.0,462.9833818363619,2.6655654028834146,518.4420985651434,2.714700259899964,0.8930281377953859,-0.049134857016548864,1.0,0.0
106,Corynebacterium-tuberculostearicum,0.000562963,-3.2495201760000003,0.000955975,-3.019553536,140.25612446164877,2.146921834361893,48.41982010471325,1.6850231715642954,2.8966676075691584,0.461898662797598,0.7346070588235294,-0.13394490284427962
107,DNF00809,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,0.0,-inf,53.3870968108871,1.7274363045759604,0.0,-inf,0.7448,-0.12796033202671378
108,Defluviitaleaceae-UCG-011,0.000394504,-3.4039487910000004,0.296679184,-0.527712925,7877.05408701466,3.8963638275197625,3279.1157181285394,3.5157567429450354,2.402188505720152,0.38060708457472725,0.05555862068965517,-1.2552485446894133
109,Desmonostoc-PCC-7422,0.000690909,-3.160579093,4.9e-06,-5.3095181060000005,33.098195100331544,1.5198043116204756,257.0657203645429,2.4100441674670714,0.12875382627211146,-0.8902398558465957,0.483245283018868,-0.315832376448659
110,Desulfovibrio,3.49e-06,-5.456645668999999,1.0,0.0,324708.60615512804,5.511493799424126,421959.33143564296,5.625270595548876,0.7695258333317662,-0.11377679612475063,0.8262427947598253,-0.08289231474950175
111,Desulfovibrio-fairfieldensis,0.00044058,-3.3559755069999997,4.9e-06,-5.3095181060000005,113382.94541835082,5.054547734735754,208930.79883884202,5.320002464776085,0.5426818164123727,-0.26545473004033,0.483245283018868,-0.315832376448659
112,Desulfovibrionaceae,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,3238455.9032025607,6.510337987810729,6263736.903201903,6.796833507688575,0.5170165914132063,-0.2864955198778455,0.6763475862068965,-0.16983005557327846
113,Devosia,0.0007794869999999999,-3.1081910230000003,0.000955975,-3.019553536,0.0,-inf,29.60068743637992,1.471301797084605,0.0,-inf,0.8191858407079645,-0.08661756290577187
114,Dialister,1.0,0.0,1.0,0.0,10.45467598074552,1.0193105773779971,0.0,-inf,inf,inf,0.7448,-0.12796033202671378
115,Dialister-invisus-DSM-15470,0.203072,-0.6923499540000001,1.0,0.0,343.4823351648207,2.535904406787964,87.12757037294803,1.9401556035286942,3.9422921320375472,0.5957488032592699,0.37886000000000003,-0.4215212450715341
116,Dialister-sp.-Marseille-P5638,1.0,0.0,0.267058228,-0.573394037,126.47541960881722,2.1020061289463223,12.779784638709677,1.106523535277149,9.896521982516518,0.9954825936691732,0.5490707692307693,-0.26037167612250617
117,Dielma,0.000394504,-3.4039487910000004,0.0005116830000000001,-3.2909988689999996,169.76079585879032,2.2298374025861936,51.206104725007165,1.7093217400840082,3.315245257776568,0.5205156625021853,0.7758608695652174,-0.11021615116122467
118,Dorea-sp.-5-2,5.79e-05,-4.23728572,0.006148315,-2.211243918,88233.26842426196,4.9456323670917515,69693.75859549097,4.843193886722001,1.2660139186404915,0.10243848036975062,0.79446267281106,-0.09992650295377704
119,Dubosiella,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,28840.046221167206,4.459995952080047,3360.125493477509,3.526355497659795,8.583026520036206,0.933640454420252,0.2265290322580645,-0.6448761303333747
120,Dubosiella-newyorkensis,0.000112593,-3.9484901810000004,4.9e-06,-5.3095181060000005,44879.619090393586,4.6520491622489475,43119.14964464897,4.634670187515461,1.0408280186472343,0.017378974733487044,1.0,0.0
121,Dyadobacter-fermentans,0.0007794869999999999,-3.1081910230000003,0.0046222220000000005,-2.335149179,63.633707382616464,1.8036872265351176,128.41162280219532,2.108604334405818,0.4955447645158845,-0.30491710787070003,0.8155306666666666,-0.08855970339905654
122,Eggerthella,0.000394504,-3.4039487910000004,0.0005116830000000001,-3.2909988689999996,3.7491211469534065,0.5739294741914345,71.93555095939067,1.8569435742451288,0.05211777899733992,-1.2830141000536943,0.5490707692307693,-0.26037167612250617
123,Eisenbergiella,3.49e-06,-5.456645668999999,4.9e-06,-5.3095181060000005,3306.9458628512098,3.5194270852501304,5016.824142100662,3.7004288776963064,0.659171174667987,-0.18100179244617598,0.7448,-0.12796033202671378
124,Elizabethkingia,0.000690909,-3.160579093,0.000838621,-3.0764344269999997,85.7739565754749,1.9333554436472458,51.11876237670251,1.708580330684865,1.6779349222775113,0.2247751129623808,0.8624544680851064,-0.06426382353741861
125,Endozoicomonas,1.0,0.0,1.0,0.0,10.391723295206093,1.0166875740768053,10.699015861290324,1.0293438313611252,0.9712784269069052,-0.012656257284319898,1.0,0.0
126,Enterobacterales,0.000690909,-3.160579093,0.000838621,-3.0764344269999997,2.86593881625,0.45726691458587554,45.05300751648745,1.6537237876395605,0.06361259712131738,-1.196456873053685,0.4928146788990826,-0.30731636482510577
