#SampleID	forward-absolute-filepath	reverse-absolute-filepath	Figure	Mice_ID	Day	If_longitudinal	Group	Time	Sample_description
#q2:types	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical
sample12	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M2_S206_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M2_S206_L001_R2_001.fastq	1a	Fcel_M2	14	No	Cellulose	Morning	Cellulose_Morning_02
sample13	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M3_S207_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M3_S207_L001_R2_001.fastq	1a	Fcel_M3	14	No	Cellulose	Morning	Cellulose_Morning_03
sample14	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M4_S208_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M4_S208_L001_R2_001.fastq	1a	Fcel_M4	14	No	Cellulose	Morning	Cellulose_Morning_04
sample15	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M5_S209_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-M5_S209_L001_R2_001.fastq	1a	Fcel_M5	14	No	Cellulose	Morning	Cellulose_Morning_05
sample16	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N1_S210_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N1_S210_L001_R2_001.fastq	1a	Fcel_N1	14	No	Cellulose	Evening	Cellulose_Evening_01
sample17	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N2_S211_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N2_S211_L001_R2_001.fastq	1a	Fcel_N2	14	No	Cellulose	Evening	Cellulose_Evening_02
sample18	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N3_S212_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N3_S212_L001_R2_001.fastq	1a	Fcel_N3	14	No	Cellulose	Evening	Cellulose_Evening_03
sample19	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N4_S213_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N4_S213_L001_R2_001.fastq	1a	Fcel_N4	14	No	Cellulose	Evening	Cellulose_Evening_04
sample20	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N5_S214_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Fcel-N5_S214_L001_R2_001.fastq	1a	Fcel_N5	14	No	Cellulose	Evening	Cellulose_Evening_05
sample21	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M1_S225_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M1_S225_L001_R2_001.fastq	1a	Finu_M1	14	No	Inulin	Morning	Inulin_Morning_01
sample22	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M2_S226_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M2_S226_L001_R2_001.fastq	1a	Finu_M2	14	No	Inulin	Morning	Inulin_Morning_02
sample23	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M3_S227_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M3_S227_L001_R2_001.fastq	1a	Finu_M3	14	No	Inulin	Morning	Inulin_Morning_03
sample24	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M4_S228_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M4_S228_L001_R2_001.fastq	1a	Finu_M4	14	No	Inulin	Morning	Inulin_Morning_04
sample25	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M5_S229_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-M5_S229_L001_R2_001.fastq	1a	Finu_M5	14	No	Inulin	Morning	Inulin_Morning_05
sample26	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N1_S230_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N1_S230_L001_R2_001.fastq	1a	Finu_N1	14	No	Inulin	Evening	Inulin_Evening_01
sample27	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N2_S231_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N2_S231_L001_R2_001.fastq	1a	Finu_N2	14	No	Inulin	Evening	Inulin_Evening_02
sample28	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N3_S232_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N3_S232_L001_R2_001.fastq	1a	Finu_N3	14	No	Inulin	Evening	Inulin_Evening_03
sample29	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N4_S233_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N4_S233_L001_R2_001.fastq	1a	Finu_N4	14	No	Inulin	Evening	Inulin_Evening_04
sample30	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N5_S234_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/Finu-N5_S234_L001_R2_001.fastq	1a	Finu_N5	14	No	Inulin	Evening	Inulin_Evening_05
sample31	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R01_S1_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R01_S1_L001_R2_001.fastq	1d	1	0	Yes	Inulin	Morning	D0_01_CageNo.1
sample32	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R02_S2_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R02_S2_L001_R2_001.fastq	1d	2	0	Yes	Inulin	Morning	D0_02_CageNo.2
sample33	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R03_S3_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R03_S3_L001_R2_001.fastq	1d	3	0	Yes	Inulin	Morning	D0_03_CageNo.3
sample34	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R04_S4_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R04_S4_L001_R2_001.fastq	1d	4	0	Yes	Inulin	Morning	D0_04_CageNo.3
sample35	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R05_S5_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R05_S5_L001_R2_001.fastq	1d	5	0	Yes	Inulin	Morning	D0_05_CageNo.3
sample36	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R06_S6_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R06_S6_L001_R2_001.fastq	1d	6	0	Yes	Inulin	Morning	D0_06_CageNo.1
sample37	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R07_S7_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R07_S7_L001_R2_001.fastq	1d	7	0	Yes	Inulin	Morning	D0_07_CageNo.2
sample38	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R08_S8_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R08_S8_L001_R2_001.fastq	1d	8	0	Yes	Inulin	Morning	D0_08_CageNo.2
sample39	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R09_S9_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/R09_S9_L001_R2_001.fastq	1d	9	0	Yes	Inulin	Morning	D0_09_CageNo.1
sample40	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-01_S1_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-01_S1_L001_R2_001.fastq	1d	1	1	Yes	Inulin	Morning	D01_01_CageNo.1
sample41	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-02_S2_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-02_S2_L001_R2_001.fastq	1d	2	1	Yes	Inulin	Morning	D01_02_CageNo.2
sample42	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-03_S3_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-03_S3_L001_R2_001.fastq	1d	3	1	Yes	Inulin	Morning	D01_03_CageNo.3
sample43	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-04_S4_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-04_S4_L001_R2_001.fastq	1d	4	1	Yes	Inulin	Morning	D01_04_CageNo.3
sample44	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-05_S5_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-05_S5_L001_R2_001.fastq	1d	5	1	Yes	Inulin	Morning	D01_05_CageNo.3
sample45	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-06_S6_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-06_S6_L001_R2_001.fastq	1d	6	1	Yes	Inulin	Morning	D01_06_CageNo.1
sample46	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-07_S7_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-07_S7_L001_R2_001.fastq	1d	7	1	Yes	Inulin	Morning	D01_07_CageNo.2
sample47	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-08_S8_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-08_S8_L001_R2_001.fastq	1d	8	1	Yes	Inulin	Morning	D01_08_CageNo.2
sample48	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-09_S9_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D01-09_S9_L001_R2_001.fastq	1d	9	1	Yes	Inulin	Morning	D01_09_CageNo.1
sample49	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-01_S10_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-01_S10_L001_R2_001.fastq	1d	1	3	Yes	Inulin	Morning	D03_01_CageNo.1
sample50	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-02_S11_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-02_S11_L001_R2_001.fastq	1d	2	3	Yes	Inulin	Morning	D03_02_CageNo.2
sample51	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-03_S12_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-03_S12_L001_R2_001.fastq	1d	3	3	Yes	Inulin	Morning	D03_03_CageNo.3
sample52	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-04_S13_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-04_S13_L001_R2_001.fastq	1d	4	3	Yes	Inulin	Morning	D03_04_CageNo.3
sample53	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-05_S14_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-05_S14_L001_R2_001.fastq	1d	5	3	Yes	Inulin	Morning	D03_05_CageNo.3
sample54	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-06_S15_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-06_S15_L001_R2_001.fastq	1d	6	3	Yes	Inulin	Morning	D03_06_CageNo.1
sample55	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-07_S16_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-07_S16_L001_R2_001.fastq	1d	7	3	Yes	Inulin	Morning	D03_07_CageNo.2
sample56	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-08_S17_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-08_S17_L001_R2_001.fastq	1d	8	3	Yes	Inulin	Morning	D03_08_CageNo.2
sample57	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-09_S18_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D03-09_S18_L001_R2_001.fastq	1d	9	3	Yes	Inulin	Morning	D03_09_CageNo.1
sample58	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-01_S19_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-01_S19_L001_R2_001.fastq	1d	1	4	Yes	Inulin	Morning	D04_01_CageNo.1
sample59	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-02_S20_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-02_S20_L001_R2_001.fastq	1d	2	4	Yes	Inulin	Morning	D04_02_CageNo.2
sample60	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-03_S21_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-03_S21_L001_R2_001.fastq	1d	3	4	Yes	Inulin	Morning	D04_03_CageNo.3
sample61	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-04_S22_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-04_S22_L001_R2_001.fastq	1d	4	4	Yes	Inulin	Morning	D04_04_CageNo.3
sample62	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-05_S23_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-05_S23_L001_R2_001.fastq	1d	5	4	Yes	Inulin	Morning	D04_05_CageNo.3
sample63	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-06_S24_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-06_S24_L001_R2_001.fastq	1d	6	4	Yes	Inulin	Morning	D04_06_CageNo.1
sample64	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-07_S25_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-07_S25_L001_R2_001.fastq	1d	7	4	Yes	Inulin	Morning	D04_07_CageNo.2
sample65	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-08_S26_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-08_S26_L001_R2_001.fastq	1d	8	4	Yes	Inulin	Morning	D04_08_CageNo.2
sample66	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-09_S27_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D04-09_S27_L001_R2_001.fastq	1d	9	4	Yes	Inulin	Morning	D04_09_CageNo.1
sample67	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-01_S28_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-01_S28_L001_R2_001.fastq	1d	1	5	Yes	Inulin	Morning	D05_01_CageNo.1
sample68	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-02_S29_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-02_S29_L001_R2_001.fastq	1d	2	5	Yes	Inulin	Morning	D05_02_CageNo.2
sample69	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-03_S30_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-03_S30_L001_R2_001.fastq	1d	3	5	Yes	Inulin	Morning	D05_03_CageNo.3
sample70	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-04_S31_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-04_S31_L001_R2_001.fastq	1d	4	5	Yes	Inulin	Morning	D05_04_CageNo.3
sample71	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-05_S32_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-05_S32_L001_R2_001.fastq	1d	5	5	Yes	Inulin	Morning	D05_05_CageNo.3
sample72	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-06_S33_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-06_S33_L001_R2_001.fastq	1d	6	5	Yes	Inulin	Morning	D05_06_CageNo.1
sample73	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-07_S34_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-07_S34_L001_R2_001.fastq	1d	7	5	Yes	Inulin	Morning	D05_07_CageNo.2
sample74	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-08_S35_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-08_S35_L001_R2_001.fastq	1d	8	5	Yes	Inulin	Morning	D05_08_CageNo.2
sample75	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-09_S36_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D05-09_S36_L001_R2_001.fastq	1d	9	5	Yes	Inulin	Morning	D05_09_CageNo.1
sample76	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-01_S37_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-01_S37_L001_R2_001.fastq	1d	1	6	Yes	Inulin	Morning	D06_01_CageNo.1
sample77	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-02_S38_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-02_S38_L001_R2_001.fastq	1d	2	6	Yes	Inulin	Morning	D06_02_CageNo.2
sample78	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-03_S39_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-03_S39_L001_R2_001.fastq	1d	3	6	Yes	Inulin	Morning	D06_03_CageNo.3
sample79	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-04_S40_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-04_S40_L001_R2_001.fastq	1d	4	6	Yes	Inulin	Morning	D06_04_CageNo.3
sample80	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-05_S41_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-05_S41_L001_R2_001.fastq	1d	5	6	Yes	Inulin	Morning	D06_05_CageNo.3
sample81	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-06_S42_L001_R1_001.fastq	/mnt/d/16S_sequencing_data/Chijiiwa-2020-microbiome/16S_FeedingExperiment/D06-06_S42_L001_R2_001.fastq	1d	6	6	Yes	Inulin	Morning	D06_06_CageNo.1
